obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"618.560"	"0.002"	"618.5596"	""	"3.17e+03"	"4.55e-06"	"-4.74"		"2.012247"	"4.016095"	"6d"	"2D"	"3/2"	"20p"	"2P*"	"3/2"		"T6898"	"L12264"	
"618.783"	"0.002"	"618.7831"	""	"1.59e+04"	"2.28e-05"	"-4.04"		"2.012247"	"4.015371"	"6d"	"2D"	"3/2"	"20p"	"2P*"	"1/2"		"T6898"	"L12264"	
"621.066"	"0.002"	"621.0658"	""	"3.96e+03"	"5.73e-06"	"-4.64"		"2.012247"	"4.008009"	"6d"	"2D"	"3/2"	"19p"	"2P*"	"3/2"		"T6898"	"L12264"	
"621.341"	"0.002"	"621.3414"	""	"1.98e+04"	"2.87e-05"	"-3.94"		"2.012247"	"4.007123"	"6d"	"2D"	"3/2"	"19p"	"2P*"	"1/2"		"T6898"	"L12264"	
"621.9813"	"0.0002"	"621.98126"	""	"2.66e+06"	"7.72e-03"	"-1.81"		"1.51724535"	"3.5100692"	"7p"	"2P*"	"1/2"	"10s"	"2S"	"1/2"		"T6898"	"L12264"	
"624.178"	"0.002"	"624.1780"	""	"4.92e+03"	"7.19e-06"	"-4.54"		"2.012247"	"3.998058"	"6d"	"2D"	"3/2"	"18p"	"2P*"	"3/2"		"T6898"	"L12264"	
"624.524"	"0.002"	"624.5235"	""	"2.42e+04"	"3.54e-05"	"-3.85"		"2.012247"	"3.996959"	"6d"	"2D"	"3/2"	"18p"	"2P*"	"1/2"		"T6898"	"L12264"	
"626.301"	"0.002"	"626.3009"	""	"2.76e+04"	"2.70e-05"	"-3.79"		"2.037016"	"4.016095"	"6d"	"2D"	"5/2"	"20p"	"2P*"	"3/2"		"T6898"	"L12264"	
"628.112"	"0.002"	"628.1118"	""	"6.12e+03"	"9.05e-06"	"-4.44"		"2.012247"	"3.985621"	"6d"	"2D"	"3/2"	"17p"	"2P*"	"3/2"		"T6898"	"L12264"	
"628.553"	"0.002"	"628.5529"	""	"3.08e+04"	"4.56e-05"	"-3.74"		"2.012247"	"3.984236"	"6d"	"2D"	"3/2"	"17p"	"2P*"	"1/2"		"T6898"	"L12264"	
"628.870"	"0.002"	"628.8704"	""	"3.44e+04"	"3.40e-05"	"-3.69"		"2.037016"	"4.008009"	"6d"	"2D"	"5/2"	"19p"	"2P*"	"3/2"		"T6898"	"L12264"	
"632.062"	"0.002"	"632.0616"	""	"4.20e+04"	"4.19e-05"	"-3.60"		"2.037016"	"3.998058"	"6d"	"2D"	"5/2"	"18p"	"2P*"	"3/2"		"T6898"	"L12264"	
"632.9403"	"0.0003"	"632.9403"	""	"2.20e+06"	"3.31e-03"	"-1.88"		"1.72635573"	"3.6846751"	"7p"	"2P*"	"3/2"	"11s"	"2S"	"1/2"		"T6898"	"L12264"	
"633.190"	"0.002"	"633.1901"	""	"7.96e+03"	"1.20e-05"	"-4.32"		"2.012247"	"3.969794"	"6d"	"2D"	"3/2"	"16p"	"2P*"	"3/2"		"T6898"	"L12264"	
"633.766"	"0.002"	"633.7661"	""	"3.98e+04"	"5.99e-05"	"-3.62"		"2.012247"	"3.968015"	"6d"	"2D"	"3/2"	"16p"	"2P*"	"1/2"		"T6898"	"L12264"	
"636.096"	"0.002"	"636.0957"	""	"5.32e+04"	"5.38e-05"	"-3.49"		"2.037016"	"3.985621"	"6d"	"2D"	"5/2"	"17p"	"2P*"	"3/2"		"T6898"	"L12264"	
"639.914"	"0.002"	"639.9141"	""	"1.05e+04"	"1.62e-05"	"-4.19"		"2.012247"	"3.949225"	"6d"	"2D"	"3/2"	"15p"	"2P*"	"3/2"		"T6898"	"L12264"	
"640.689"	"0.002"	"640.6887"	""	"5.26e+04"	"8.10e-05"	"-3.49"		"2.012247"	"3.946883"	"6d"	"2D"	"3/2"	"15p"	"2P*"	"1/2"		"T6898"	"L12264"	
"641.304"	"0.002"	"641.3044"	""	"6.92e+04"	"7.12e-05"	"-3.37"		"2.037016"	"3.969794"	"6d"	"2D"	"5/2"	"16p"	"2P*"	"3/2"		"T6898"	"L12264"	
"648.203"	"0.002"	"648.2027"	""	"9.12e+04"	"9.58e-05"	"-3.24"		"2.037016"	"3.949225"	"6d"	"2D"	"5/2"	"15p"	"2P*"	"3/2"		"T6898"	"L12264"	
"648.4210"	"0.0003"	"648.4210"	""	"2.35e+07"	"3.70e-02"	"-0.830"		"1.72635573"	"3.6379217"	"7p"	"2P*"	"3/2"	"9d"	"2D"	"5/2"		"T6898"	"L12264"	
"649.103"	"0.002"	"649.1030"	""	"1.44e+04"	"2.28e-05"	"-4.04"		"2.012247"	"3.921805"	"6d"	"2D"	"3/2"	"14p"	"2P*"	"3/2"		"T6898"	"L12264"	
"649.4876"	"0.0003"	"649.4876"	""	"2.56e+06"	"4.06e-03"	"-1.79"		"1.72635573"	"3.6347824"	"7p"	"2P*"	"3/2"	"9d"	"2D"	"3/2"		"T6898"	"L12264"	
"650.181"	"0.002"	"650.1812"	""	"7.04e+04"	"1.12e-04"	"-3.35"		"2.012247"	"3.918638"	"6d"	"2D"	"3/2"	"14p"	"2P*"	"1/2"		"T6898"	"L12264"	
"650.7242"	"0.0003"	"650.7242"	""	"3.22e+07"	"1.02e-01"	"-0.690"		"1.51724535"	"3.4220453"	"7p"	"2P*"	"1/2"	"8d"	"2D"	"3/2"		"T6898"	"L12264"	
"657.633"	"0.002"	"657.633"	""	"1.22e+05"	"1.32e-04"	"-3.10"		"2.037016"	"3.921805"	"6d"	"2D"	"5/2"	"14p"	"2P*"	"3/2"		"T6898"	"L12264"	
"662.174"	"0.003"	"662.174"	""	"2.00e+04"	"3.30e-05"	"-3.88"		"2.012247"	"3.884110"	"6d"	"2D"	"3/2"	"13p"	"2P*"	"3/2"		"T6898"	"L12264"	
"663.746"	"0.003"	"663.746"	""	"1.00e+05"	"1.65e-04"	"-3.18"		"2.012247"	"3.879679"	"6d"	"2D"	"3/2"	"13p"	"2P*"	"1/2"		"T6898"	"L12264"	
"671.054"	"0.003"	"671.054"	""	"1.74e+05"	"1.96e-04"	"-2.93"		"2.037016"	"3.884110"	"6d"	"2D"	"5/2"	"13p"	"2P*"	"3/2"		"T6898"	"L12264"	
"681.787"	"0.003"	"681.787"	""	"3.00e+04"	"5.22e-05"	"-3.68"		"2.012247"	"3.830264"	"6d"	"2D"	"3/2"	"12p"	"2P*"	"3/2"		"T6898"	"L12264"	
"684.222"	"0.003"	"684.222"	""	"1.49e+05"	"2.62e-04"	"-2.98"		"2.012247"	"3.823794"	"6d"	"2D"	"3/2"	"12p"	"2P*"	"1/2"		"T6898"	"L12264"	
"691.204"	"0.003"	"691.204"	""	"2.60e+05"	"3.11e-04"	"-2.73"		"2.037016"	"3.830264"	"6d"	"2D"	"5/2"	"12p"	"2P*"	"3/2"		"T6898"	"L12264"	
"694.8987"	"0.0003"	"694.8987"	""	"3.80e+06"	"6.88e-03"	"-1.56"		"1.72635573"	"3.5100692"	"7p"	"2P*"	"3/2"	"10s"	"2S"	"1/2"		"T6898"	"L12264"	
"713.491"	"0.003"	"713.491"	""	"4.64e+04"	"8.86e-05"	"-3.45"		"2.012247"	"3.749481"	"6d"	"2D"	"3/2"	"11p"	"2P*"	"3/2"		"T6898"	"L12264"	
"717.616"	"0.003"	"717.615"	""	"2.30e+05"	"4.44e-04"	"-2.75"		"2.012247"	"3.739496"	"6d"	"2D"	"3/2"	"11p"	"2P*"	"1/2"		"T6898"	"L12264"	
"717.9866"	"0.0001"	"717.98664"	""	"1.91e+08"	"7.39e-01"	"0.170"		"0.00000000"	"1.72635573"	"7s"	"2S"	"1/2"	"7p"	"2P*"	"3/2"		"T6898"	"L12264"	
