obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"331.4578"	"0.0006"	"331.4578"	""	"3.12e+05"	"2.57e-04"	"-3.29"		"0.00000000"	"3.739496"	"7s"	"2S"	"1/2"	"11p"	"2P*"	"1/2"		"T6898"	"L12264"	
"342.3900"	"0.0006"	"342.3900"	""	"1.22e+06"	"1.07e-03"	"-2.67"		"0.00000000"	"3.620102"	"7s"	"2S"	"1/2"	"10p"	"2P*"	"3/2"		"T6898"	"L12264"	
"343.9675"	"0.0006"	"343.9675"	""	"6.04e+05"	"5.36e-04"	"-2.97"		"0.00000000"	"3.603499"	"7s"	"2S"	"1/2"	"10p"	"2P*"	"1/2"		"T6898"	"L12264"	
"365.3102"	"0.0007"	"365.3102"	""	"3.01e+06"	"3.01e-03"	"-2.22"		"0.00000000"	"3.392976"	"7s"	"2S"	"1/2"	"9p"	"2P*"	"3/2"		"T6898"	"L12264"	
"368.6510"	"0.0007"	"368.6510"	""	"1.45e+06"	"1.48e-03"	"-2.53"		"0.00000000"	"3.362230"	"7s"	"2S"	"1/2"	"9p"	"2P*"	"1/2"		"T6898"	"L12264"	
"422.5655"	"0.0009"	"422.56552"	""	"1.13e+07"	"1.51e-02"	"-1.52"		"0.00000000"	"2.9332561"	"7s"	"2S"	"1/2"	"8p"	"2P*"	"3/2"		"T6898"	"L12264"	
"432.5361"	"0.0009"	"432.53607"	""	"5.28e+06"	"7.41e-03"	"-1.83"		"0.00000000"	"2.8656418"	"7s"	"2S"	"1/2"	"8p"	"2P*"	"1/2"		"T6898"	"L12264"	
"494.6157"	"0.0002"	"494.61573"	""	"6.68e+05"	"1.23e-03"	"-2.61"		"1.51724535"	"4.0232231"	"7p"	"2P*"	"1/2"	"20d"	"2D"	"3/2"		"T6898"	"L12264"	
"495.9144"	"0.0002"	"495.91444"	""	"8.00e+05"	"1.48e-03"	"-2.53"		"1.51724535"	"4.0166605"	"7p"	"2P*"	"1/2"	"19d"	"2D"	"3/2"		"T6898"	"L12264"	
"496.9031"	"0.0002"	"496.90308"	""	"9.14e+04"	"1.69e-04"	"-3.47"		"1.51724535"	"4.0116878"	"7p"	"2P*"	"1/2"	"20s"	"2S"	"1/2"		"T6898"	"L12264"	
"497.4988"	"0.0002"	"497.49878"	""	"9.56e+05"	"1.77e-03"	"-2.45"		"1.51724535"	"4.0087010"	"7p"	"2P*"	"1/2"	"18d"	"2D"	"3/2"		"T6898"	"L12264"	
"498.7192"	"0.0002"	"498.71920"	""	"1.12e+05"	"2.09e-04"	"-3.38"		"1.51724535"	"4.0026042"	"7p"	"2P*"	"1/2"	"19s"	"2S"	"1/2"		"T6898"	"L12264"	
"499.4600"	"0.0002"	"499.45999"	""	"1.19e+06"	"2.23e-03"	"-2.35"		"1.51724535"	"3.9989180"	"7p"	"2P*"	"1/2"	"17d"	"2D"	"3/2"		"T6898"	"L12264"	
"500.9918"	"0.0002"	"500.99176"	""	"1.39e+05"	"2.62e-04"	"-3.28"		"1.51724535"	"3.9913304"	"7p"	"2P*"	"1/2"	"18s"	"2S"	"1/2"		"T6898"	"L12264"	
"501.9293"	"0.0002"	"501.92929"	""	"1.52e+06"	"2.88e-03"	"-2.24"		"1.51724535"	"3.9867093"	"7p"	"2P*"	"1/2"	"16d"	"2D"	"3/2"		"T6898"	"L12264"	
"503.8896"	"0.0002"	"503.88964"	""	"1.78e+05"	"3.38e-04"	"-3.17"		"1.51724535"	"3.9771021"	"7p"	"2P*"	"1/2"	"17s"	"2S"	"1/2"		"T6898"	"L12264"	
"505.1011"	"0.0002"	"505.10105"	""	"1.94e+06"	"3.70e-03"	"-2.13"		"1.51724535"	"3.9712026"	"7p"	"2P*"	"1/2"	"15d"	"2D"	"3/2"		"T6898"	"L12264"	
"507.6691"	"0.0002"	"507.66912"	""	"2.30e+05"	"4.45e-04"	"-3.05"		"1.51724535"	"3.9587893"	"7p"	"2P*"	"1/2"	"16s"	"2S"	"1/2"		"T6898"	"L12264"	
"509.2753"	"0.0002"	"509.27532"	""	"2.51e+06"	"4.89e-03"	"-2.01"		"1.51724535"	"3.9510890"	"7p"	"2P*"	"1/2"	"14d"	"2D"	"3/2"		"T6898"	"L12264"	
"512.7362"	"0.0002"	"512.73622"	""	"3.12e+05"	"6.15e-04"	"-2.91"		"1.51724535"	"3.9346611"	"7p"	"2P*"	"1/2"	"15s"	"2S"	"1/2"		"T6898"	"L12264"	
"514.9331"	"0.0002"	"514.93307"	""	"3.39e+06"	"6.75e-03"	"-1.87"		"1.51724535"	"3.9243478"	"7p"	"2P*"	"1/2"	"13d"	"2D"	"3/2"		"T6898"	"L12264"	
"519.7664"	"0.0002"	"519.76640"	""	"4.28e+05"	"8.67e-04"	"-2.76"		"1.51724535"	"3.9019644"	"7p"	"2P*"	"1/2"	"14s"	"2S"	"1/2"		"T6898"	"L12264"	
"522.8917"	"0.0002"	"522.89168"	""	"4.76e+06"	"9.76e-03"	"-1.71"		"1.51724535"	"3.8877113"	"7p"	"2P*"	"1/2"	"12d"	"2D"	"3/2"		"T6898"	"L12264"	
"529.9592"	"0.0002"	"529.95916"	""	"6.10e+05"	"1.28e-03"	"-2.59"		"1.51724535"	"3.8560994"	"7p"	"2P*"	"1/2"	"13s"	"2S"	"1/2"		"T6898"	"L12264"	
"534.6417"	"0.0002"	"534.64166"	""	"7.04e+06"	"1.51e-02"	"-1.52"		"1.51724535"	"3.8356155"	"7p"	"2P*"	"1/2"	"11d"	"2D"	"3/2"		"T6898"	"L12264"	
"539.6176"	"0.0002"	"539.61762"	""	"9.30e+05"	"1.02e-03"	"-2.39"		"1.72635573"	"4.0233477"	"7p"	"2P*"	"3/2"	"20d"	"2D"	"5/2"		"T6898"	"L12264"	
"539.6469"	"0.0002"	"539.64690"	""	"1.05e+05"	"1.14e-04"	"-3.34"		"1.72635573"	"4.0232231"	"7p"	"2P*"	"3/2"	"20d"	"2D"	"3/2"		"T6898"	"L12264"	
"541.1578"	"0.0002"	"541.15779"	""	"1.12e+06"	"1.23e-03"	"-2.31"		"1.72635573"	"4.0168104"	"7p"	"2P*"	"3/2"	"19d"	"2D"	"5/2"		"T6898"	"L12264"	
"541.1932"	"0.0002"	"541.19321"	""	"1.25e+05"	"1.38e-04"	"-3.26"		"1.72635573"	"4.0166605"	"7p"	"2P*"	"3/2"	"19d"	"2D"	"3/2"		"T6898"	"L12264"	
"542.3708"	"0.0002"	"542.37083"	""	"1.40e+05"	"1.54e-04"	"-3.21"		"1.72635573"	"4.0116878"	"7p"	"2P*"	"3/2"	"20s"	"2S"	"1/2"		"T6898"	"L12264"	
"543.0372"	"0.0002"	"543.03716"	""	"4.00e+06"	"4.42e-03"	"-1.75"		"1.72635573"	"4.0088836"	"7p"	"2P*"	"3/2"	"18d"	"2D"	"5/2"		"T6898"	"L12264"	
