obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"268.0421"	"0.0004"	"268.04334"	"0.00014"	""	"3.62e+05"	"1.96e-04"	"-3.407"	B	"0.000000000"	"4.6241543"	"2p6.3s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"1/2"		"c30,T76n"	"L3319,L6096"	
"285.2811"	"0.0004"	"285.28110"	"0.00016"	"16"	"2.15e+06"	"1.31e-03"	"-2.582"	B+	"0.000000000"	"4.3447597"	"2p6.3s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"3/2"		"c30,T76n"	"L6096"	
"285.3013"	"0.0004"	"285.30121"	"0.00016"	"15"	"1.06e+06"	"6.48e-04"	"-2.887"	B+	"0.000000000"	"4.3444534"	"2p6.3s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"1/2"		"c30,T76n"	"L6096"	
"330.2369"	"0.0005"	"330.23686"	"0.00022"	"19"	"1.10e+07"	"9.00e-03"	"-1.745"	A	"0.000000000"	"3.7533216"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"3/2"		"c30,T76n"	"L6096"	
"330.2979"	"0.0005"	"330.29785"	"0.00022"	"18"	"5.46e+06"	"4.46e-03"	"-2.050"	B+	"0.000000000"	"3.7526285"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"1/2"		"c30,T76n"	"L6096"	
"341.62"	"0.02"	"341.607"	"0.011"	""	"6.0e+07"	"2.6e-02"	"-0.98"	D	"32.7002"	"36.3286"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"		"T5209"	"L6269"	
"342.73"	"0.02"	"342.736"	"0.011"	"9"	"1.7e+08"	"7.4e-02"	"-0.53"	D	"32.7002"	"36.3167"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"		"T5209"	"L6269"	
"348.90"	"0.02"	"348.890"	"0.009"	"130"	"2.5e+08"	"1.2e-01"	"-0.32"	D	"32.7002"	"36.2529"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"350.25"	"0.02"	"350.237"	"0.010"	"160"	"3.5e+08"	"1.6e-01"	"-0.19"	D	"32.7002"	"36.2392"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"351.10"	"0.02"	"351.093"	"0.010"	"130"	"2.30e+08"	"1.06e-01"	"-0.373"	D	"32.7002"	"36.2306"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"1/2"		"T5209"	"L6269"	
"384.80"	"0.02"	"384.802"	"0.013"	"5"	"1.7e+08"	"6.2e-02"	"-0.43"	D	"33.0956"	"36.3167"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"		"T5209"	"L6269"	
"386.55"	"0.02"	"386.543"	"0.013"	"130"	"4.6e+08"	"1.3e-01"	"0.02"	D	"33.0525"	"36.2591"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"		"T5209"	"L6269"	
"387.29"	"0.02"	"387.296"	"0.011"	"19"	"7.2e+07"	"2.0e-02"	"-0.80"	D	"33.0525"	"36.2529"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"388.18"	"0.02"	"388.181"	"0.020"	"420"	"1.63e+09"	"4.61e-01"	"0.567"	D	"33.0525"	"36.2456"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4F*"	"9/2"		"T5209"	"L6269"	
""	""	"388.39033"	"0.00005"	""	"1.39e-03"	"1.57e-12"	"-11.50"	C	"0.000000000"	"3.1913531"	"2p6.3s"	"2S"	"1/2"	"2p6.4s"	"2S"	"1/2"	M1	"c27"	""	
"388.57"	"0.02"	"388.571"	"0.011"	"36"	"2.5e+08"	"1.4e-01"	"-0.25"	D	"33.1388"	"36.3286"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"		"T5209"	"L6269"	
"390.04"	"0.02"	"390.033"	"0.014"	"15"	"4.6e+08"	"2.6e-01"	"0.02"	D	"33.1388"	"36.3167"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"		"T5209"	"L6269"	
"391.79"	"0.02"	"391.803"	"0.012"	"160"	"5.3e+08"	"2.0e-01"	"0.08"	D	"33.0956"	"36.2591"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"		"T5209"	"L6269"	
"392.56"	"0.02"	"392.577"	"0.009"	"85"	"2.7e+08"	"1.0e-01"	"-0.22"	D	"33.0956"	"36.2529"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"393.06"	"0.02"	"393.059"	"0.014"	"15"	"1.0e+08"	"1.2e-01"	"-0.62"	D	"33.1752"	"36.3286"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"1/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"		"T5209"	"L6269"	
"394.26"	"0.02"	"394.283"	"0.009"	"32"	"8.4e+07"	"3.3e-02"	"-0.70"	D	"33.0956"	"36.2392"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"398.03"	"0.02"	"398.023"	"0.010"	"14"	"3.e+07"	"2.e-02"	"-1"	D	"33.1388"	"36.2529"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"399.77"	"0.02"	"399.777"	"0.011"	"14"	"3.e+07"	"2.e-02"	"-1"	D	"33.1388"	"36.2392"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"400.88"	"0.02"	"400.892"	"0.011"	"27"	"3.0e+07"	"1.8e-02"	"-1.1"	D	"33.1388"	"36.2306"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"1/2"		"T5209"	"L6269"	
"413.082"	"0.002"	"413.08376"	"0.00003"	""	"3.45e+04"	"2.21e-05"	"-4.05"	B	"2.104429202"	"[5.10501280]"	"2p6.3p"	"2P*"	"3/2"	"2p6.20d"	"2D"	"3/2"		"T7799"	"L9493"	
"413.082"	"0.002"	"413.08376"	"0.00003"	""	"3.10e+05"	"1.99e-04"	"-3.10"	B	"2.104429202"	"[5.10501280]"	"2p6.3p"	"2P*"	"3/2"	"2p6.20d"	"2D"	"5/2"		"T7799"	"L9493"	
