obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"358.7050"	"0.0005"	"358.70496"	"100"	"1.58e+06"	"1.53e-03"	"-2.51"	B+	"0.0000000"	"3.4554532"	"4p6.5s"	"2S"	"1/2"	"4p6.7p"	"2P*"	"3/2"		"T7227"	"L3287"	
"359.1572"	"0.0005"	"359.15717"	"40"	"5.78e+05"	"5.60e-04"	"-2.95"	B	"0.0000000"	"3.4511026"	"4p6.5s"	"2S"	"1/2"	"4p6.7p"	"2P*"	"1/2"		"T7227"	"L3287"	
"420.1792"	"0.0005"	"420.18053"	"1000"	"7.08e+06"	"9.37e-03"	"-1.73"	B+	"0.0000000"	"2.9499053"	"4p6.5s"	"2S"	"1/2"	"4p6.6p"	"2P*"	"3/2"		"T7227"	"L3287"	
"421.5524"	"0.0005"	"421.5539"	"500"	"3.00e+06"	"4.00e-03"	"-2.10"	B	"0.0000000"	"2.9402953"	"4p6.5s"	"2S"	"1/2"	"4p6.6p"	"2P*"	"1/2"		"T7227"	"L3287"	
"505.02"	"0.03"	"505.07"	""	"2.62e+07"	"2.50e-02"	"-1.000"		"16.64489"	"19.09902"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.4d.(1P).5s"	"2P*"	"3/2"		"T7580"	"L7245"	
"521.76"	"0.03"	"521.75"	""	"1.72e+07"	"1.75e-02"	"-1.15"		"16.64489"	"19.02054"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.5p2"	"4D*"	"5/2"		"T7580"	"L7245"	
"553.44"	"0.03"	"553.44"	""	"6.54e+06"	"7.51e-03"	"-1.52"		"16.64489"	"18.88453"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.5s.(1P).6s"	"2P*"	"1/2"		"T7580"	"L7245"	
"585.99"	"0.03"	"586.01"	""	"3.88e+07"	"5.00e-02"	"-0.699"		"16.64489"	"18.76005"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.5s.6s"	"4P*"	"3/2"		"T7580"	"L7245"	
"611.91"	"0.04"	"611.87"	""	"1.78e+08"	"2.50e-01"	""		"16.64489"	"18.67066"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.5s.6s"	"4P*"	"5/2"		"T7580"	"L7245"	
"620.63092"	"0.00010"	"620.6310"	"75c"	"1.179e+07"	"3.407e-02"	"-1.167"		"1.55959103"	"3.5567504"	"4p6.5p"	"2P*"	"1/2"	"4p6.6d"	"2D"	"3/2"		"T7712"	"L7459"	
"629.83252"	"0.00010"	"629.8326"	"120c"	"2.227e+07"	"3.313e-02"	"-0.8777"		"1.58904906"	"3.5570310"	"4p6.5p"	"2P*"	"3/2"	"4p6.6d"	"2D"	"5/2"		"T7712"	"L7459"	
"629.92245"	"0.00010"	"629.9224"	"5"	"2.52e+06"	"3.75e-03"	"-1.82"		"1.58904906"	"3.5567504"	"4p6.5p"	"2P*"	"3/2"	"4p6.6d"	"2D"	"3/2"		"T7712"	"L7459"	
"682.24"	"0.05"	"682.22"	""	"4.28e+05"	"7.47e-04"	"-2.52"		"16.64489"	"18.46174"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.4d.(3D).5s"	"2D*"	"3/2"		"T7580"	"L7245"	
"780.0268"	"0.0010"	"780.0268"	"90000c"	"1.525e+08"	"6.958e-01"	"0.1435"	AAA	"0.0000000"	"1.58904906"	"4p6.5s"	"2S"	"1/2"	"4p6.5p"	"2P*"	"3/2"		"T6877,T6650,T1895"	"L4740"	
"794.7603"	"0.0010"	"794.7603"	"45000c"	"7.228e+07"	"3.424e-01"	"-0.1644"	AAA	"0.0000000"	"1.55959103"	"4p6.5s"	"2S"	"1/2"	"4p6.5p"	"2P*"	"1/2"		"T6877,T6650"	"L4740"	
