obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""252.5647""","=""0.0003""","=""252.5649""","=""0.0009""","=""50""","=""1.39e+06""","=""4.43e-04""","=""-2.876""",D,"=""36.354688""","=""41.262215""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T7663""","=""L914""",
"=""253.1538""","=""0.0003""","=""253.1540""","=""0.0009""","=""600""","=""8.44e+07""","=""2.70e-02""","=""-1.092""",C+,"=""36.354688""","=""41.250796""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""",,"=""T7663""","=""L914""",
"=""258.6308""","=""0.0003""","=""258.6307""","=""0.0009""","=""550""","=""1.74e+08""","=""5.82e-02""","=""-0.758""",C,"=""36.354688""","=""41.147123""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""T7663c79""","=""L914""",
"=""259.4958""","=""0.0003""","=""259.4959""","=""0.0010""","=""600""","=""1.11e+08""","=""3.74e-02""","=""-0.950""",B,"=""36.354688""","=""41.131145""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663""","=""L914""",
"=""260.0325""","=""0.0003""","=""260.0324""","=""0.0010""","=""45""","=""2.4e+06""","=""8.2e-04""","=""-2.6""",E,"=""36.354688""","=""41.121292""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T6036c79""","=""L914""",
"=""261.1812""","=""0.0003""","=""261.1811""","=""0.0010""","=""850""","=""1.1e+09""","=""3.7e-01""","=""0.042""",E,"=""36.354688""","=""41.100329""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",,"=""T7663c78""","=""L914""",
"=""266.0997""","=""0.0003""","=""266.0997""","=""0.0010""","=""850""","=""8.25e+08""","=""2.92e-01""","=""-0.057""",B+,"=""36.354688""","=""41.012615""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
"=""267.1826""","=""0.0003""","=""267.1829""","=""0.0010""","=""1000""","=""7.92e+08""","=""2.82e-01""","=""-0.073""",B+,"=""36.354688""","=""40.993732""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T6036""","=""L914""",
"=""267.8085""","=""0.0003""","=""267.8085""","=""0.0010""","=""850""","=""3.01e+08""","=""1.08e-01""","=""-0.489""",B,"=""36.354688""","=""40.982896""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",,"=""T6036""","=""L914""",
"=""279.9211""","=""0.0003""","=""279.9217""","=""0.0011""","=""80""","=""1.32e+07""","=""2.21e-03""","=""-1.811""",D+,"=""36.854157""","=""41.282097""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
"=""280.8706""","=""0.0003""","=""280.8705""","=""0.0011""","=""650""","=""1.0e+08""","=""1.8e-02""","=""-0.89""",E,"=""36.854157""","=""41.267140""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""",,"=""T7663c79""","=""L914""",
"=""280.9520""","=""0.0003""","=""280.9520""","=""0.0011""","=""850""","=""1.78e+08""","=""4.23e-02""","=""-0.675""",A,"=""32.846429""","=""37.258133""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3P""","=""1""",,"=""T7663""","=""L914""",
