obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""26.797""","=""0.001""","=""26.7970""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""373176""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.806""","=""0.001""","=""26.8060""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""373051""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).10s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.824""","=""0.001""","=""26.8240""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""372800""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.827""","=""0.001""","=""26.8270""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""372759""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).14d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.834""","=""0.001""","=""26.8340""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""372662""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).13d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.838""","=""0.001""","=""26.8380""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""372606""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).9s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.842""","=""0.001""","=""26.8420""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""372550""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).12d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.853""","=""0.001""","=""26.8530""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""372398""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).11d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.862""","=""0.001""","=""26.8620""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""372273""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).7d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.866""","=""0.001""","=""26.8660""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""372218""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).10d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.871""","=""0.001""","=""26.8710""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""372148""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).11d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.886""","=""0.001""","=""26.8860""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""371941""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).8s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.886""","=""0.001""","=""26.8860""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""371941""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.886""","=""0.001""","=""26.8860""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""371941""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).10d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.894""","=""0.001""","=""26.8940""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""371830""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.906""","=""0.001""","=""26.9060""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""371664""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.913""","=""0.001""","=""26.9130""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""371568""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.914""","=""0.001""","=""26.9140""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""371554""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).10s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.920""","=""0.001""","=""26.9200""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""371471""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.922""","=""0.001""","=""26.9220""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""371443""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).6d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.937""","=""0.001""","=""26.9370""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""371237""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.937""","=""0.001""","=""26.9370""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""371237""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).10s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.953""","=""0.001""","=""26.9530""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""371016""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).7d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.953""","=""0.001""","=""26.9530""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""371016""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).9s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.961""","=""0.001""","=""26.9610""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""370906""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).7d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.967""","=""0.001""","=""26.9670""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""370824""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).7s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.980""","=""0.001""","=""26.9800""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""370645""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).10s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""26.981""","=""0.001""","=""26.9810""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""370631""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).7d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.988""","=""0.001""","=""26.9880""","=""0.0011""","=""bl,a""","=""""","=""""","=""""",,"=""0.00000""","=""370535""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).9s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.006""","=""0.001""","=""27.0060""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""370288""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).8s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.012""","=""0.001""","=""27.0120""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""370206""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).6d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.017""","=""0.001""","=""27.0170""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""370137""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).9s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""27.020""","=""0.001""","=""27.0200""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""370096""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).6d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.0276""","=""0.0008""","=""27.0276""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""369992""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).5d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.053""","=""0.001""","=""27.0530""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""369645""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).6d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.067""","=""0.001""","=""27.0670""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""369454""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).8s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""27.076""","=""0.001""","=""27.0760""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""369331""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).8s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.098""","=""0.001""","=""27.0980""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""369031""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).7s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.104""","=""0.001""","=""27.1040""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""368949""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).6s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.119""","=""0.001""","=""27.1190""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""368745""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).5d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.119""","=""0.001""","=""27.1190""","=""0.0011""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""368745""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).5d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.1527""","=""0.0008""","=""27.1527""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""368287""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).7s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""27.1773""","=""0.0008""","=""27.1773""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""367954""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).5d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.2180""","=""0.0008""","=""27.2180""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""367404""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).4d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.232""","=""0.001""","=""27.2320""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""367215""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).7s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.253""","=""0.001""","=""27.2530""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""366932""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).6s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.2907""","=""0.0008""","=""27.2907""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""366425""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).4d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.307""","=""0.001""","=""27.3071""","=""0.0010""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""366205""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).6s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""27.307""","=""0.001""","=""27.3070""","=""0.0010""","=""a*""","=""""","=""""","=""""",,"=""0.00000""","=""366206""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).4d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.398""","=""0.001""","=""27.3980""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""364990""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).5s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.4148""","=""0.0008""","=""27.4148""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""364766""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).4d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.559""","=""0.001""","=""27.5590""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""362858""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).6s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.609""","=""0.001""","=""27.6090""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""362201""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).5s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.6205""","=""0.0008""","=""27.6205""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""362050""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).5s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""27.6688""","=""0.0008""","=""27.6688""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""361418""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).3d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.6912""","=""0.0008""","=""27.6912""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""361126""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).3d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.7142""","=""0.0008""","=""27.7142""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""360826""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).3d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.120""","=""0.001""","=""28.1200""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""355619""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).4s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.429""","=""0.001""","=""28.4290""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""351753""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).5s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.535""","=""0.001""","=""28.5350""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""350447""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).4s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.5701""","=""0.0008""","=""28.5701""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""350016""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).4s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""28.571""","=""0.001""","=""28.5710""","=""0.0010""","=""D,a""","=""""","=""""","=""""",,"=""0.00000""","=""350005""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).19p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.573""","=""0.001""","=""28.5730""","=""0.0010""","=""D,a""","=""""","=""""","=""""",,"=""0.00000""","=""349981""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).18p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.577""","=""0.001""","=""28.5770""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""349932""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).17p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.582""","=""0.001""","=""28.5820""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""349871""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).16p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.586""","=""0.001""","=""28.5860""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""349822""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).15p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.593""","=""0.001""","=""28.5930""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""349736""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).14p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.601""","=""0.001""","=""28.6010""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""349638""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).13p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.611""","=""0.001""","=""28.6110""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""349516""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).12p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.622""","=""0.001""","=""28.6220""","=""0.0010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""349382""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).11p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.6397""","=""0.0008""","=""28.6397""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""349166""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).10p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.6621""","=""0.0008""","=""28.6621""","=""0.0008""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""348893""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).9p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
