obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""274.120""","=""274.1203""","=""0.0011""","=""5*""","=""2.496e+06""","=""1.406e-03""","=""-2.5509""",AA,"=""0.000000""","=""4.521648""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",,"=""T6620LS""","=""L7397""",
"=""323.266""","=""323.2657""","=""0.0015""","=""17*""","=""4.008e+06""","=""3.140e-03""","=""-2.2020""",AA,"=""0.000000""","=""3.834258""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""3/2""",,"=""T7401LS""","=""L7397""",
"=""323.266""","=""323.2657""","=""0.0015""","=""17*""","=""2.004e+06""","=""1.570e-03""","=""-2.5030""",AA,"=""0.000000""","=""3.834258""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""1/2""",,"=""T7401LS""","=""L7397""",
"=""""","=""367.169""","=""0.014""","=""""","=""5.596e+06""","=""5.657e-03""","=""-1.946""",AA,"=""1.847818""","=""5.22362""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.9d""","=""2D""","=""3/2""",,"=""T6835LS""","=""""",
"=""""","=""367.174""","=""0.014""","=""""","=""1.119e+06""","=""5.657e-04""","=""-2.6454""",AA,"=""1.847860""","=""5.22362""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.9d""","=""2D""","=""3/2""",,"=""T6835LS""","=""""",
"=""""","=""367.174""","=""0.014""","=""""","=""1.007e+07""","=""5.090e-03""","=""-1.6912""",AA,"=""1.847860""","=""5.22362""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.9d""","=""2D""","=""5/2""",,"=""T6835LS""","=""""",
"=""371.87""","=""372.089""","=""0.014""","=""3*""","=""8.044e+06""","=""8.353e-03""","=""-1.7771""",AA,"=""1.847818""","=""5.17898""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
"=""371.87""","=""372.094""","=""0.014""","=""3*""","=""1.448e+07""","=""7.518e-03""","=""-1.5218""",AA,"=""1.847860""","=""5.17898""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",,"=""T6835LS""","=""L7397""",
"=""371.87""","=""372.094""","=""0.014""","=""3*""","=""1.609e+06""","=""8.355e-04""","=""-2.4760""",AA,"=""1.847860""","=""5.17898""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
"=""""","=""374.658""","=""0.014""","=""""","=""6.74e+05""","=""7.09e-04""","=""-2.848""",A,"=""1.847818""","=""5.15614""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""374.663""","=""0.014""","=""""","=""1.35e+06""","=""7.11e-04""","=""-2.546""",A,"=""1.847860""","=""5.15614""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""379.472""","=""379.502""","=""0.014""","=""6*""","=""1.216e+07""","=""1.314e-02""","=""-1.5804""",AA,"=""1.847818""","=""5.11391""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
"=""379.472""","=""379.507""","=""0.014""","=""6*""","=""2.189e+07""","=""1.183e-02""","=""-1.3251""",AA,"=""1.847860""","=""5.11391""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",,"=""T6835LS""","=""L7397""",
"=""379.472""","=""379.507""","=""0.014""","=""6*""","=""2.433e+06""","=""1.314e-03""","=""-2.2793""",AA,"=""1.847860""","=""5.11391""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
"=""""","=""383.559""","=""0.015""","=""""","=""1.04e+06""","=""1.14e-03""","=""-2.641""",A,"=""1.847818""","=""5.07937""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""383.564""","=""0.015""","=""""","=""2.08e+06""","=""1.15e-03""","=""-2.339""",A,"=""1.847860""","=""5.07937""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""391.530""","=""391.5292""","=""0.0022""","=""20""","=""1.986e+07""","=""2.283e-02""","=""-1.3405""",AA,"=""1.847818""","=""5.013587""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
"=""391.535""","=""391.5342""","=""0.0022""","=""20*""","=""3.575e+07""","=""2.055e-02""","=""-1.085""",AA,"=""1.847860""","=""5.013589""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T6835LS""","=""L7397""",
"=""391.535""","=""391.5344""","=""0.0022""","=""20*""","=""3.970e+06""","=""2.282e-03""","=""-2.040""",AA,"=""1.847860""","=""5.013587""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
"=""398.548""","=""398.5481""","=""0.0022""","=""10""","=""1.72e+06""","=""2.05e-03""","=""-2.386""",A,"=""1.847818""","=""4.957835""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
"=""398.554""","=""398.5535""","=""0.0022""","=""10""","=""3.46e+06""","=""2.06e-03""","=""-2.08""",A,"=""1.847860""","=""4.957835""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
"=""413.256""","=""413.2557""","=""0.0024""","=""40""","=""3.62e+07""","=""4.63e-02""","=""-1.03""",A,"=""1.847818""","=""4.847154""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T5118LS""","=""L7397""",
"=""413.262""","=""413.2613""","=""0.0024""","=""40*""","=""6.54e+07""","=""4.17e-02""","=""-0.778""",A,"=""1.847860""","=""4.847155""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",,"=""T5118LS""","=""L7397""",
"=""413.262""","=""413.2615""","=""0.0024""","=""40*""","=""7.24e+06""","=""4.63e-03""","=""-1.732""",A,"=""1.847860""","=""4.847154""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T5118LS""","=""L7397""",
"=""427.307""","=""427.306""","=""0.003""","=""20""","=""3.16e+06""","=""4.34e-03""","=""-2.06""",A,"=""1.847818""","=""4.748533""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
"=""427.313""","=""427.312""","=""0.003""","=""20""","=""6.34e+06""","=""4.33e-03""","=""-1.761""",A,"=""1.847860""","=""4.748533""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
"=""460.283""","=""460.282""","=""0.003""","=""13""","=""7.740e+07""","=""1.230e-01""","=""-0.6090""",AA,"=""1.847818""","=""4.540720""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.4d""","=""2D""","=""3/2""",,"=""T6620LS""","=""L7397""",
"=""460.289""","=""460.289""","=""0.003""","=""13*""","=""1.393e+08""","=""1.107e-01""","=""-0.3538""",AA,"=""1.847860""","=""4.540723""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.4d""","=""2D""","=""5/2""",,"=""T6620LS""","=""L7397""",
"=""460.289""","=""460.289""","=""0.003""","=""13*""","=""1.548e+07""","=""1.230e-02""","=""-1.3080""",AA,"=""1.847860""","=""4.540720""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.4d""","=""2D""","=""3/2""",,"=""T6620LS""","=""L7397""",
"=""497.166""","=""497.166""","=""0.003""","=""8""","=""6.920e+06""","=""1.283e-02""","=""-1.5908""",AA,"=""1.847818""","=""4.340942""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.4s""","=""2S""","=""1/2""",,"=""T7401LS""","=""L7397""",
"=""497.175""","=""497.174""","=""0.003""","=""8""","=""1.384e+07""","=""1.283e-02""","=""-1.2898""",AA,"=""1.847860""","=""4.340942""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.4s""","=""2S""","=""1/2""",,"=""T7401LS""","=""L7397""",
