obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""1292.893""","=""0.024""","=""""","=""9.12e+04""","=""5.72e-04""","=""-2.641""",A,"=""3.878608""","=""4.837313""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1292.893""","=""0.024""","=""""","=""4.56e+05""","=""2.86e-03""","=""-1.942""",A,"=""3.878608""","=""4.837313""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""1292.899""","=""0.024""","=""""","=""8.20e+05""","=""3.43e-03""","=""-1.687""",A,"=""3.878613""","=""4.837313""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.5p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""1356.6""","=""1355.72""","=""0.03""","=""*""","=""3.78e+06""","=""2.60e-02""","=""-0.983""",A,"=""3.834258""","=""4.748533""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
"=""1356.6""","=""1355.72""","=""0.03""","=""*""","=""1.88e+06""","=""2.60e-02""","=""-1.285""",A,"=""3.834258""","=""4.748533""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
"=""""","=""1483.37""","=""0.03""","=""""","=""8.80e+03""","=""1.45e-04""","=""-3.537""",B,"=""4.340942""","=""5.176542""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""1483.37""","=""0.03""","=""""","=""1.76e+04""","=""2.91e-04""","=""-3.236""",B,"=""4.340942""","=""5.176542""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1611.09""","=""0.04""","=""""","=""8.32e+03""","=""1.62e-04""","=""-3.489""",B,"=""4.340942""","=""5.110300""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""1611.09""","=""0.04""","=""""","=""1.66e+04""","=""3.23e-04""","=""-3.189""",B,"=""4.340942""","=""5.110300""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""1755.2""","=""1754.52""","=""0.04""","=""*""","=""4.070e+07""","=""4.702e-01""","=""0.274""",AA,"=""3.834258""","=""4.540723""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.4d""","=""2D""","=""5/2""",,"=""T6620LS""","=""L7397""",
"=""1755.2""","=""1754.52""","=""0.04""","=""*""","=""2.261e+07""","=""5.224e-01""","=""0.0190""",AA,"=""3.834258""","=""4.540720""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.4d""","=""2D""","=""3/2""",,"=""T6620LS""","=""L7397""",
"=""1755.2""","=""1754.52""","=""0.04""","=""*""","=""4.524e+06""","=""5.225e-02""","=""-0.680""",AA,"=""3.834258""","=""4.540720""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.4d""","=""2D""","=""3/2""",,"=""T6620LS""","=""L7397""",
"=""""","=""1858.65""","=""0.05""","=""""","=""3.76e+03""","=""9.72e-05""","=""-3.71""",B,"=""4.340942""","=""5.007826""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""1858.65""","=""0.05""","=""""","=""7.48e+03""","=""1.94e-04""","=""-3.412""",B,"=""4.340942""","=""5.007826""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""1869.7""","=""1869.7""","=""0.4""","=""*""","=""1.106e+08""","=""9.669e-01""","=""0.7635""",AA,"=""3.878613""","=""4.54157""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.4f""","=""2F*""","=""7/2""",,"=""T7409LS""","=""L7397""",
"=""1869.7""","=""1869.7""","=""0.4""","=""*""","=""5.532e+06""","=""4.835e-02""","=""-0.5375""",AA,"=""3.878613""","=""4.54157""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.4f""","=""2F*""","=""5/2""",,"=""T7409LS""","=""L7397""",
"=""1869.7""","=""1869.7""","=""0.4""","=""*""","=""7.746e+07""","=""1.015e+00""","=""0.6086""",AA,"=""3.878608""","=""4.54157""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.4f""","=""2F*""","=""5/2""",,"=""T7409LS""","=""L7397""",
"=""""","=""1885.7""","=""0.4""","=""""","=""1.18e+06""","=""3.16e-02""","=""-1.200""",A,"=""4.521648""","=""5.17898""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1885.7""","=""0.4""","=""""","=""2.36e+05""","=""3.15e-03""","=""-1.899""",A,"=""4.521648""","=""5.17898""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1885.7""","=""0.4""","=""""","=""2.13e+06""","=""2.84e-02""","=""-0.945""",A,"=""4.521648""","=""5.17898""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""1929.0""","=""1927.57""","=""0.05""","=""*""","=""2.145e+05""","=""2.993e-03""","=""-1.9218""",AA,"=""3.878608""","=""4.521648""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.4p""","=""2P*""","=""3/2""",,"=""T6620LS""","=""L7397""",
"=""1929.0""","=""1927.57""","=""0.05""","=""*""","=""1.073e+06""","=""1.497e-02""","=""-1.2228""",AA,"=""3.878608""","=""4.521648""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.4p""","=""2P*""","=""1/2""",,"=""T6620LS""","=""L7397""",
"=""1929.0""","=""1927.58""","=""0.05""","=""*""","=""1.930e+06""","=""1.796e-02""","=""-0.9676""",AA,"=""3.878613""","=""4.521648""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.4p""","=""2P*""","=""3/2""",,"=""T6620LS""","=""L7397""",
"=""""","=""1949.45""","=""0.05""","=""""","=""1.96e+04""","=""2.80e-04""","=""-2.951""",A,"=""4.540720""","=""5.176542""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1949.45""","=""0.05""","=""""","=""9.80e+04""","=""1.40e-03""","=""-2.252""",A,"=""4.540720""","=""5.176542""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""1949.46""","=""0.05""","=""""","=""1.77e+05""","=""1.68e-03""","=""-1.997""",A,"=""4.540723""","=""5.176542""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""1953.5""","=""0.4""","=""""","=""2.24e+05""","=""6.42e-03""","=""-1.891""",A,"=""4.521648""","=""5.15614""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""1953.5""","=""0.4""","=""""","=""4.48e+05""","=""6.41e-03""","=""-1.591""",A,"=""4.521648""","=""5.15614""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""2093.4""","=""0.4""","=""""","=""3.56e+05""","=""5.84e-03""","=""-1.631""",A,"=""4.521648""","=""5.11391""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""2093.4""","=""0.4""","=""""","=""1.77e+06""","=""5.83e-02""","=""-0.934""",A,"=""4.521648""","=""5.11391""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""2093.4""","=""0.4""","=""""","=""3.18e+06""","=""5.22e-02""","=""-0.680""",A,"=""4.521648""","=""5.11391""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""""","=""2176.77""","=""0.07""","=""""","=""3.12e+04""","=""5.55e-04""","=""-2.654""",A,"=""4.540720""","=""5.110300""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""2176.77""","=""0.07""","=""""","=""1.56e+05""","=""2.77e-03""","=""-1.955""",A,"=""4.540720""","=""5.110300""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""2176.78""","=""0.07""","=""""","=""2.81e+05""","=""3.33e-03""","=""-1.700""",A,"=""4.540723""","=""5.110300""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""2223.0""","=""0.5""","=""""","=""7.16e+05""","=""1.33e-02""","=""-1.276""",A,"=""4.521648""","=""5.07937""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""2223.0""","=""0.5""","=""""","=""3.58e+05""","=""1.33e-02""","=""-1.577""",A,"=""4.521648""","=""5.07937""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""2447.37""","=""2446.97""","=""0.08""","=""*""","=""9.932e+06""","=""2.230e-01""","=""-0.0497""",AA,"=""3.834258""","=""4.340942""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.4s""","=""2S""","=""1/2""",,"=""T7401LS""","=""L7397""",
"=""2447.37""","=""2446.97""","=""0.08""","=""*""","=""4.966e+06""","=""2.230e-01""","=""-0.3507""",AA,"=""3.834258""","=""4.340942""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.4s""","=""2S""","=""1/2""",,"=""T7401LS""","=""L7397""",
"=""""","=""2497.81""","=""0.09""","=""""","=""6.78e+03""","=""3.17e-04""","=""-3.197""",B,"=""4.340942""","=""4.837313""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""2497.81""","=""0.09""","=""""","=""1.35e+04""","=""6.32e-04""","=""-2.90""",B,"=""4.340942""","=""4.837313""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""2520.31""","=""0.09""","=""""","=""5.60e+05""","=""1.33e-02""","=""-1.274""",A,"=""4.521648""","=""5.013587""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""2520.31""","=""0.09""","=""""","=""2.80e+06""","=""1.33e-01""","=""-0.575""",A,"=""4.521648""","=""5.013587""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""2520.31""","=""0.09""","=""""","=""5.02e+06""","=""1.20e-01""","=""-0.320""",A,"=""4.521648""","=""5.013589""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""""","=""2626.7""","=""0.7""","=""""","=""7.14e+03""","=""1.23e-04""","=""-3.132""",B',"=""4.54157""","=""5.013589""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T1115CA""","=""""",
"=""""","=""2626.7""","=""0.7""","=""""","=""1.00e+05""","=""1.72e-03""","=""-1.985""",B',"=""4.54157""","=""5.013587""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T1115CA""","=""""",
"=""""","=""2626.7""","=""0.7""","=""""","=""1.43e+05""","=""1.85e-03""","=""-1.831""",B',"=""4.54157""","=""5.013589""","=""1s2.4f""","=""2F*""","=""7/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T1115CA""","=""""",
"=""""","=""2654.31""","=""0.10""","=""""","=""5.48e+04""","=""1.44e-03""","=""-2.239""",A,"=""4.540720""","=""5.007826""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""2654.31""","=""0.10""","=""""","=""2.74e+05""","=""7.21e-03""","=""-1.540""",A,"=""4.540720""","=""5.007826""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""2654.32""","=""0.10""","=""""","=""4.92e+05""","=""8.64e-03""","=""-1.285""",A,"=""4.540723""","=""5.007826""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""2688.71""","=""0.10""","=""""","=""7.476e+06""","=""4.051e-01""","=""-0.0914""",AA,"=""3.373129""","=""3.834258""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""1/2""",,"=""T7401LS""","=""""",
"=""""","=""2688.71""","=""0.10""","=""""","=""1.495e+07""","=""8.100e-01""","=""0.2095""",AA,"=""3.373129""","=""3.834258""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""3/2""",,"=""T7401LS""","=""""",
"=""""","=""2842.45""","=""0.11""","=""""","=""6.38e+05""","=""3.87e-02""","=""-1.111""",A,"=""4.521648""","=""4.957835""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""2842.45""","=""0.11""","=""""","=""1.28e+06""","=""3.87e-02""","=""-0.810""",A,"=""4.521648""","=""4.957835""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""2896.76""","=""0.12""","=""""","=""9.26e+02""","=""5.82e-05""","=""-3.93""",B,"=""4.748533""","=""5.176542""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""2896.76""","=""0.12""","=""""","=""1.85e+03""","=""1.16e-04""","=""-3.633""",B,"=""4.748533""","=""5.176542""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""3628.8""","=""1.3""","=""""","=""1.24e+05""","=""6.11e-03""","=""-1.612""",A,"=""4.837313""","=""5.17898""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""3628.8""","=""1.3""","=""""","=""6.20e+05""","=""6.11e-02""","=""-0.913""",A,"=""4.837313""","=""5.17898""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""3628.8""","=""1.3""","=""""","=""1.12e+06""","=""5.50e-02""","=""-0.657""",A,"=""4.837313""","=""5.17898""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""""","=""3764.07""","=""0.20""","=""""","=""1.82e+04""","=""9.64e-04""","=""-2.414""",A,"=""4.847154""","=""5.176542""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""3764.07""","=""0.20""","=""""","=""9.08e+04""","=""4.82e-03""","=""-1.715""",A,"=""4.847154""","=""5.176542""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""3764.08""","=""0.20""","=""""","=""1.63e+05""","=""5.78e-03""","=""-1.460""",A,"=""4.847155""","=""5.176542""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""3808.96""","=""0.21""","=""""","=""8.16e+06""","=""4.45e-01""","=""0.250""",A,"=""4.521648""","=""4.847155""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""""","=""3808.97""","=""0.21""","=""""","=""9.08e+05""","=""4.94e-02""","=""-0.704""",A,"=""4.521648""","=""4.847154""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""3808.97""","=""0.21""","=""""","=""4.56e+06""","=""4.94e-01""","=""-0.005""",A,"=""4.521648""","=""4.847154""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""3888.7""","=""1.5""","=""""","=""3.10e+05""","=""1.75e-02""","=""-1.154""",A,"=""4.837313""","=""5.15614""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""3888.7""","=""1.5""","=""""","=""1.54e+05""","=""1.75e-02""","=""-1.456""",A,"=""4.837313""","=""5.15614""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""4030.4""","=""1.6""","=""""","=""1.45e+07""","=""8.80e-01""","=""0.547""",B',"=""4.540720""","=""4.84834""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5f""","=""2F*""","=""5/2""",,"=""T1115CA""","=""""",
"=""""","=""4030.5""","=""1.6""","=""""","=""1.03e+06""","=""4.19e-02""","=""-0.600""",B',"=""4.540723""","=""4.84834""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.5f""","=""2F*""","=""5/2""",,"=""T1115CA""","=""""",
"=""""","=""4030.5""","=""1.6""","=""""","=""2.06e+07""","=""8.38e-01""","=""0.701""",B',"=""4.540723""","=""4.84834""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.5f""","=""2F*""","=""7/2""",,"=""T1115CA""","=""""",
"=""""","=""4057.2""","=""1.7""","=""""","=""1.49e+04""","=""6.14e-04""","=""-2.433""",B',"=""4.54157""","=""4.847155""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.5d""","=""2D""","=""5/2""",,"=""T1115CA""","=""""",
"=""""","=""4057.2""","=""1.7""","=""""","=""2.09e+05""","=""8.60e-03""","=""-1.287""",B',"=""4.54157""","=""4.847154""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T1115CA""","=""""",
"=""""","=""4057.2""","=""1.7""","=""""","=""2.99e+05""","=""9.22e-03""","=""-1.132""",B',"=""4.54157""","=""4.847155""","=""1s2.4f""","=""2F*""","=""7/2""","=""1s2.5d""","=""2D""","=""5/2""",,"=""T1115CA""","=""""",
"=""""","=""4180.29""","=""0.25""","=""""","=""1.11e+05""","=""7.25e-03""","=""-1.538""",A,"=""4.540720""","=""4.837313""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""4180.29""","=""0.25""","=""""","=""5.52e+05""","=""3.62e-02""","=""-0.840""",A,"=""4.540720""","=""4.837313""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""4180.32""","=""0.25""","=""""","=""9.96e+05""","=""4.35e-02""","=""-0.584""",A,"=""4.540723""","=""4.837313""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.5p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""4482.4""","=""2.0""","=""""","=""1.81e+05""","=""1.37e-02""","=""-1.263""",A,"=""4.837313""","=""5.11391""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""4482.4""","=""2.0""","=""""","=""9.08e+05""","=""1.37e-01""","=""-0.564""",A,"=""4.837313""","=""5.11391""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""4482.4""","=""2.0""","=""""","=""1.63e+06""","=""1.23e-01""","=""-0.309""",A,"=""4.837313""","=""5.11391""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""""","=""4711.6""","=""0.3""","=""""","=""2.98e+04""","=""2.48e-03""","=""-2.003""",A,"=""4.847154""","=""5.110300""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""4711.6""","=""0.3""","=""""","=""1.49e+05""","=""1.24e-02""","=""-1.304""",A,"=""4.847154""","=""5.110300""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""4711.6""","=""0.3""","=""""","=""2.69e+05""","=""1.49e-02""","=""-1.048""",A,"=""4.847155""","=""5.110300""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""4781.6""","=""0.3""","=""""","=""6.66e+03""","=""1.14e-03""","=""-2.642""",A,"=""4.748533""","=""5.007826""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""4781.6""","=""0.3""","=""""","=""1.33e+04""","=""2.28e-03""","=""-2.341""",A,"=""4.748533""","=""5.007826""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""5122""","=""3""","=""""","=""2.60e+05""","=""5.10e-02""","=""-0.991""",A,"=""4.837313""","=""5.07937""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""5122""","=""3""","=""""","=""5.18e+05""","=""5.10e-02""","=""-0.690""",A,"=""4.837313""","=""5.07937""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""5464.6""","=""0.4""","=""""","=""1.50e+06""","=""3.36e-01""","=""-0.17""",A,"=""4.521648""","=""4.748533""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""5464.6""","=""0.4""","=""""","=""3.00e+06""","=""3.35e-01""","=""0.127""",A,"=""4.521648""","=""4.748533""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""6861.1""","=""0.7""","=""""","=""1.552e+06""","=""5.476e-01""","=""0.0395""",AA,"=""4.340942""","=""4.521648""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",,"=""T6620LS""","=""""",
"=""""","=""6861.1""","=""0.7""","=""""","=""3.104e+06""","=""1.095e+00""","=""0.3406""",AA,"=""4.340942""","=""4.521648""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",,"=""T6620LS""","=""""",
"=""""","=""7033.5""","=""0.7""","=""""","=""2.39e+06""","=""4.44e-01""","=""0.249""",A,"=""4.837313""","=""5.013589""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""""","=""7033.6""","=""0.7""","=""""","=""2.66e+05""","=""4.92e-02""","=""-0.706""",A,"=""4.837313""","=""5.013587""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""7033.6""","=""0.7""","=""""","=""1.33e+06""","=""4.92e-01""","=""-0.007""",A,"=""4.837313""","=""5.013587""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""7244""","=""5""","=""""","=""7.20e+04""","=""1.42e-02""","=""-1.25""",A,"=""5.007826""","=""5.17898""","=""1s2.6p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""7244""","=""5""","=""""","=""3.59e+05""","=""1.41e-01""","=""-0.549""",A,"=""5.007826""","=""5.17898""","=""1s2.6p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""7244""","=""5""","=""""","=""6.42e+05""","=""1.27e-01""","=""-0.29""",A,"=""5.007826""","=""5.17898""","=""1s2.6p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
"=""""","=""7503""","=""6""","=""""","=""1.20e+04""","=""1.69e-03""","=""-1.995""",B',"=""4.84834""","=""5.013589""","=""1s2.5f""","=""2F*""","=""5/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T1115CA""","=""""",
"=""""","=""7503""","=""6""","=""""","=""1.68e+05""","=""2.36e-02""","=""-0.849""",B',"=""4.84834""","=""5.013587""","=""1s2.5f""","=""2F*""","=""5/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T1115CA""","=""""",
"=""""","=""7503""","=""6""","=""""","=""2.39e+05""","=""2.53e-02""","=""-0.695""",B',"=""4.84834""","=""5.013589""","=""1s2.5f""","=""2F*""","=""7/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T1115CA""","=""""",
"=""""","=""7608.5""","=""0.8""","=""""","=""1.66e+04""","=""3.61e-03""","=""-1.840""",A,"=""5.013587""","=""5.176542""","=""1s2.6d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""7608.5""","=""0.8""","=""""","=""8.32e+04""","=""1.81e-02""","=""-1.141""",A,"=""5.013587""","=""5.176542""","=""1s2.6d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
"=""""","=""7608.6""","=""0.8""","=""""","=""1.50e+05""","=""2.17e-02""","=""-0.886""",A,"=""5.013589""","=""5.176542""","=""1s2.6d""","=""2D""","=""5/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
"=""""","=""7716.6""","=""0.8""","=""""","=""5.48e+04""","=""1.22e-02""","=""-1.31""",A,"=""4.847154""","=""5.007826""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
