obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""457.51071""","=""0.00006""","=""457.51071""","=""0.00004""","=""56""","=""3.4e+07""","=""3.6e-02""","=""-0.97""",D,"=""3.36940787""","=""6.07862231""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""2""",,"=""T4288""","=""L14866""",
"=""457.83166""","=""0.00008""","=""457.83167""","=""0.00006""","=""21""","=""4.4e+07""","=""1.1e-02""","=""-0.86""",D,"=""3.84961210""","=""6.5569273""","=""3d5.(2I).4s""","=""a 3I""","=""6""","=""3d4.(1G1).4s.4p.(3P*)""","=""x 3H*""","=""5""",,"=""T3963""","=""L14866""",
"=""458.00477""","=""0.00005""","=""458.004789""","=""0.000019""","=""560""","=""7.2e+06""","=""4.5e-03""","=""-1.64""",B,"=""0.94143042""","=""3.64772230""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""",,"=""T4913""","=""L14866""",
"=""458.240""","=""0.003""","=""458.2414""","=""0.0006""","=""6""","=""3.5e+07""","=""1.2e-02""","=""-0.96""",D,"=""4.1055150""","=""6.810410""","=""3d5.(2F1).4s""","=""b 3F""","=""4""","=""3d5.(4G).5p""","=""v 3H*""","=""5""",,"=""T3963""","=""L808""",
"=""458.38980""","=""0.00011""","=""458.389860""","=""0.000021""","=""13""","=""8.0e+06""","=""5.0e-03""","=""-1.60""",D,"=""3.01279642""","=""5.71681492""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(4P).4p""","=""y 3D*""","=""2""",,"=""T3963""","=""L14866""",
"=""458.40855""","=""0.00006""","=""458.40851""","=""0.00004""","=""46""","=""2.3e+07""","=""8.1e-03""","=""-1.14""",D,"=""3.12159404""","=""5.82550252""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""5""",,"=""T3963""","=""L14866""",
"=""458.47519""","=""0.00015""","=""458.475223""","=""0.000021""","=""8""","=""3.8e+06""","=""1.7e-03""","=""-1.93""",D,"=""3.01329987""","=""5.71681492""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(4P).4p""","=""y 3D*""","=""2""",,"=""T3963""","=""L14866""",
"=""458.49342""","=""0.00006""","=""458.49343""","=""0.00004""","=""25""","=""2.0e+07""","=""1.2e-02""","=""-1.21""",D,"=""3.37521461""","=""6.07862231""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""2""",,"=""T3963""","=""L14866""",
"=""458.50747""","=""0.00006""","=""458.50747""","=""0.00003""","=""25""","=""3.0e+07""","=""8.5e-03""","=""-1.03""",D,"=""3.44884096""","=""6.15216585""","=""3d4.4s2""","=""b 3G""","=""5""","=""3d5.(4D).4p""","=""x 3F*""","=""4""",,"=""T4288""","=""L14866""",
"=""458.61354""","=""0.00006""","=""458.61354""","=""0.00003""","=""47""","=""2.4e+07""","=""1.1e-02""","=""-1.12""",D,"=""3.11278390""","=""5.81548356""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""4""",,"=""T3963""","=""L14866""",
"=""459.13908""","=""0.00005""","=""459.139098""","=""0.000013""","=""490""","=""5.5e+06""","=""5.8e-03""","=""-1.76""",B,"=""0.96841324""","=""3.66801930""","=""3d4.4s2""","=""a 5D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""",,"=""T4624,T4913""","=""L14866""",
"=""459.2538""","=""0.0002""","=""459.25385""","=""0.00011""","=""3""","=""1.4e+08""","=""3.5e-02""","=""-0.34""",D,"=""4.4552365""","=""7.1541681""","=""3d5.(2H).4s""","=""b 3H""","=""6""","=""3d5.(2F1).4p""","=""t 3G*""","=""5""",,"=""T3963""","=""L14866""",
"=""459.55895""","=""0.00005""","=""459.55894""","=""0.00004""","=""170""","=""6.1e+08""","=""1.5e-01""","=""0.29""",D,"=""4.1860366""","=""6.8831764""","=""3d5.(2I).4s""","=""b 1I""","=""6""","=""3d5.(2I).4p""","=""y 1I*""","=""6""",,"=""T1621n""","=""L14866""",
"=""460.0099""","=""0.0004""","=""460.00957""","=""0.00005""","=""40""","=""2.1e+07""","=""5.1e-03""","=""-1.18""",D,"=""2.54410014""","=""5.2385978""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""6""",,"=""T4288""","=""L9190""",
"=""460.07485""","=""0.00005""","=""460.074835""","=""0.000013""","=""1190""","=""1.8e+07""","=""7.9e-03""","=""-1.26""",B,"=""1.00367492""","=""3.69779039""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""3""",,"=""T4624,T4913""","=""L14866""",
"=""460.10164""","=""0.00005""","=""460.10163""","=""0.00005""","=""270""","=""2.0e+07""","=""5.6e-03""","=""-1.21""",D,"=""2.54463928""","=""5.2385978""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""6""",,"=""T3963""","=""L14866""",
"=""460.6364""","=""0.002""","=""460.63582""","=""0.00011""","=""15""","=""1.1e+08""","=""3.1e-02""","=""-0.46""",D,"=""4.4490806""","=""7.1399151""","=""3d5.(2H).4s""","=""b 3H""","=""5""","=""3d5.(2F1).4p""","=""t 3G*""","=""4""",,"=""T3963""","=""L808""",
"=""461.1056""","=""0.002""","=""461.10442""","=""0.00003""","=""4""","=""1.8e+06""","=""6.4e-04""","=""-2.24""",D,"=""2.96741996""","=""5.65551992""","=""3d4.4s2""","=""a 3H""","=""4""","=""3d5.(4G).4p""","=""y 5H*""","=""4""",,"=""T2268""","=""L808""",
"=""461.19620""","=""0.00006""","=""461.19622""","=""0.00005""","=""32""","=""2.4e+07""","=""7.7e-02""","=""-1.12""",D,"=""3.36779583""","=""6.0553607""","=""3d5.(4P).4s""","=""b 3P""","=""0""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""1""",,"=""T3963""","=""L14866""",
"=""461.33573""","=""0.00005""","=""461.335727""","=""0.000017""","=""590""","=""6.6e+06""","=""2.1e-02""","=""-1.68""",B,"=""0.96097009""","=""3.64772230""","=""3d4.4s2""","=""a 5D""","=""0""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""",,"=""T4624,T4913""","=""L14866""",
"=""461.45106""","=""0.00006""","=""461.45110""","=""0.00004""","=""45""","=""5.1e+07""","=""1.5e-02""","=""-0.79""",D,"=""3.85036371""","=""6.53644421""","=""3d5.(2I).4s""","=""a 3I""","=""5""","=""3d4.(3G).4s.4p.(3P*)""","=""3G*""","=""4""",,"=""T3963""","=""L14866""",
"=""461.61240""","=""0.00005""","=""461.612404""","=""0.000011""","=""1360""","=""2.0e+07""","=""1.3e-02""","=""-1.18""",B,"=""0.98287742""","=""3.66801930""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""",,"=""T4624,T4913""","=""L14866""",
"=""461.737""","=""0.003""","=""461.73701""","=""0.00003""","=""2""","=""6.6e+05""","=""1.9e-04""","=""-2.67""",D,"=""2.98256889""","=""5.66698616""","=""3d4.4s2""","=""a 3H""","=""5""","=""3d5.(4G).4p""","=""y 5H*""","=""6""",,"=""T2268""","=""L808""",
"=""461.95328""","=""0.00005""","=""461.953289""","=""0.000021""","=""190""","=""8.0e+07""","=""5.1e-02""","=""-0.59""",D,"=""2.98716595""","=""5.67032643""","=""3d4.4s2""","=""a 3P""","=""2""","=""3d5.(4P).4p""","=""y 3P*""","=""2""",,"=""T3963""","=""L14866""",
"=""462.24491""","=""0.00006""","=""462.24492""","=""0.00004""","=""83""","=""2.9e+08""","=""1.3e-01""","=""-0.04""",D,"=""3.55053095""","=""6.23199865""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d5.(4D).4p""","=""w 3D*""","=""3""",,"=""T4288""","=""L14866""",
"=""462.27475""","=""0.00006""","=""462.27478""","=""0.00004""","=""71""","=""3.3e+07""","=""2.1e-02""","=""-0.98""",D,"=""2.98716595""","=""5.66846045""","=""3d4.4s2""","=""a 3P""","=""2""","=""3d5.(4P).4p""","=""y 3P*""","=""1""",,"=""T4288""","=""L14866""",
"=""462.59217""","=""0.00005""","=""462.59220""","=""0.00004""","=""89""","=""1.6e+08""","=""3.9e-02""","=""-0.30""",D,"=""3.84961210""","=""6.52906678""","=""3d5.(2I).4s""","=""a 3I""","=""6""","=""3d4.(1I).4s.4p.(3P*)""","=""y 3I*""","=""6""",,"=""T4288""","=""L14866""",
"=""462.61734""","=""0.00005""","=""462.617342""","=""0.000015""","=""1100""","=""1.5e+07""","=""1.6e-02""","=""-1.32""",B,"=""0.96841324""","=""3.64772230""","=""3d4.4s2""","=""a 5D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""",,"=""T4624,T4913""","=""L14866""",
"=""462.84607""","=""0.00018""","=""462.84595""","=""0.00004""","=""5""","=""1.3e+07""","=""4.7e-03""","=""-1.37""",D,"=""3.14419143""","=""5.82217714""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""3d4.4s.5s""","=""f 7D""","=""5""",,"=""T4288""","=""L14866""",
"=""463.32548""","=""0.00012""","=""463.32553""","=""0.00004""","=""13""","=""1.8e+07""","=""8.3e-03""","=""-1.24""",D,"=""3.12514546""","=""5.80035930""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""3d4.4s.5s""","=""f 7D""","=""4""",,"=""T4288""","=""L14866""",
"=""463.95071""","=""0.00008""","=""463.95068""","=""0.00004""","=""22""","=""6.6e+07""","=""4.3e-02""","=""-0.67""",D,"=""3.11067051""","=""5.78227967""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""","=""3d4.4s.5s""","=""f 7D""","=""3""",,"=""T1621n""","=""L14866""",
"=""463.96675""","=""0.00016""","=""463.96691""","=""0.00006""","=""7""","=""3.8e+07""","=""1.8e-02""","=""-0.91""",D,"=""3.55053095""","=""6.2220467""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d5.(4D).4p""","=""w 3D*""","=""2""",,"=""T3963""","=""L14866""",
"=""464.149""","=""0.003""","=""464.1475""","=""0.0006""","=""3""","=""1.9e+07""","=""8.8e-03""","=""-1.21""",D,"=""4.2073736""","=""6.877850""","=""3d4.4s2""","=""c 3D""","=""3""","=""3d5.(4G).5p""","=""u 3F*""","=""2""",,"=""T3963""","=""L808""",
"=""464.19946""","=""0.00006""","=""464.19949""","=""0.00004""","=""51""","=""6.6e+07""","=""1.9e-02""","=""-0.67""",D,"=""3.85036371""","=""6.52054093""","=""3d5.(2I).4s""","=""a 3I""","=""5""","=""3d4.(1I).4s.4p.(3P*)""","=""y 3I*""","=""5""",,"=""T4288""","=""L14866""",
"=""464.61620""","=""0.00005""","=""464.616212""","=""0.000013""","=""2400""","=""6.1e+07""","=""2.2e-02""","=""-0.71""",B,"=""1.03000806""","=""3.69779039""","=""3d4.4s2""","=""a 5D""","=""4""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""3""",,"=""T4624,T4913""","=""L14866""",
"=""464.64849""","=""0.00006""","=""464.648466""","=""0.000020""","=""37""","=""2.9e+07""","=""1.3e-02""","=""-1.03""",D,"=""3.07899825""","=""5.74659540""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""2""",,"=""T3963""","=""L14866""",
"=""464.67747""","=""0.00006""","=""464.67747""","=""0.00004""","=""29""","=""3.9e+07""","=""4.2e-02""","=""-0.90""",D,"=""3.10092412""","=""5.76835475""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""1""","=""3d4.4s.5s""","=""f 7D""","=""2""",,"=""T3963""","=""L14866""",
"=""464.81155""","=""0.00005""","=""464.81154""","=""0.00004""","=""157""","=""1.3e+07""","=""8.2e-03""","=""-1.39""",D,"=""2.54383615""","=""5.21049739""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""3""",,"=""T3963""","=""L14866""",
"=""464.833""","=""0.003""","=""464.83198""","=""0.00003""","=""2""","=""2.0e+06""","=""4.9e-04""","=""-2.20""",D,"=""3.00044215""","=""5.66698616""","=""3d4.4s2""","=""a 3H""","=""6""","=""3d5.(4G).4p""","=""y 5H*""","=""6""",,"=""T2268""","=""L808""",
"=""465.1291""","=""0.0004""","=""465.128365""","=""0.000013""","=""75""","=""1.1e+07""","=""7.0e-03""","=""-1.46""",B,"=""0.98287742""","=""3.64772230""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""",,"=""T4624,T4913""","=""L9190""",
"=""465.21573""","=""0.00005""","=""465.215743""","=""0.000011""","=""1750""","=""2.9e+07""","=""1.3e-02""","=""-1.03""",B,"=""1.00367492""","=""3.66801930""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""",,"=""T4913""","=""L14866""",
"=""465.47242""","=""0.00006""","=""465.47242""","=""0.00007""","=""29""","=""2.7e+07""","=""8.9e-02""","=""-1.05""",D,"=""3.0960208""","=""5.75889602""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""0""","=""3d4.4s.5s""","=""f 7D""","=""1""",,"=""T3963""","=""L14866""",
"=""465.61834""","=""0.00006""","=""465.618342""","=""0.000020""","=""49""","=""2.29e+07""","=""8.27e-03""","=""-1.128""",B,"=""3.08689206""","=""5.74893273""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""3""",,"=""u10""","=""L14866""",
"=""465.68141""","=""0.00016""","=""465.68137""","=""0.00007""","=""8""","=""1.2e+08""","=""3.6e-02""","=""-0.40""",D,"=""4.7780523""","=""7.4397327""","=""3d5.(2H).4s""","=""a 1H""","=""5""","=""3d5.(2G1).4p""","=""x 1H*""","=""5""",,"=""T3963""","=""L14866""",
"=""466.33112""","=""0.00006""","=""466.33111""","=""0.00004""","=""58""","=""6.0e+07""","=""6.5e-02""","=""-0.71""",D,"=""3.10092412""","=""5.75889602""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""1""","=""3d4.4s.5s""","=""f 7D""","=""1""",,"=""T3963""","=""L14866""",
"=""466.59060""","=""0.00005""","=""466.59061""","=""0.00003""","=""86""","=""9.0e+07""","=""9.8e-02""","=""-0.53""",D,"=""3.55579538""","=""6.21228906""","=""3d5.(4D).4s""","=""a 3D""","=""1""","=""3d5.(4D).4p""","=""w 3D*""","=""1""",,"=""T3963""","=""L14866""",
"=""466.61974""","=""0.00006""","=""466.61977""","=""0.00003""","=""74""","=""3.2e+07""","=""1.2e-02""","=""-0.98""",D,"=""2.96741996""","=""5.62374764""","=""3d4.4s2""","=""a 3H""","=""4""","=""3d5.(4G).4p""","=""z 3H*""","=""4""",,"=""T3963""","=""L14866""",
"=""466.93166""","=""0.00006""","=""466.93168""","=""0.00004""","=""52""","=""9.99e+07""","=""2.97e-02""","=""-0.486""",B,"=""3.16762385""","=""5.82217714""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""","=""3d4.4s.5s""","=""f 7D""","=""5""",,"=""u10""","=""L14866""",
"=""468.0864""","=""0.002""","=""468.08529""","=""0.00005""","=""35""","=""4.8e+07""","=""3.2e-02""","=""-0.80""",D,"=""3.0922396""","=""5.74025070""","=""3d4.4s2""","=""a 3F""","=""2""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""1""",,"=""T4288""","=""L808""",
"=""468.93565""","=""0.00006""","=""468.93566""","=""0.00004""","=""82""","=""1.2e+08""","=""5.4e-02""","=""-0.42""",D,"=""3.12514546""","=""5.76835475""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""3d4.4s.5s""","=""f 7D""","=""2""",,"=""T1621n""","=""L14866""",
"=""469.39387""","=""0.00006""","=""469.39388""","=""0.00003""","=""85""","=""3.7e+07""","=""1.1e-02""","=""-0.91""",D,"=""2.98256889""","=""5.62319793""","=""3d4.4s2""","=""a 3H""","=""5""","=""3d5.(4G).4p""","=""z 3H*""","=""5""",,"=""T4288""","=""L14866""",
"=""469.51446""","=""0.00006""","=""469.51449""","=""0.00003""","=""44""","=""2.0e+07""","=""5.9e-03""","=""-1.19""",D,"=""2.98256889""","=""5.62251964""","=""3d4.4s2""","=""a 3H""","=""5""","=""3d5.(4G).4p""","=""z 3H*""","=""6""",,"=""T4288""","=""L14866""",
"=""469.70499""","=""0.00005""","=""469.70514""","=""0.00013""","=""170""","=""2.6e+07""","=""1.3e-02""","=""-1.06""",D,"=""2.70791527""","=""5.3467945""","=""3d5.(4P).4s""","=""a 5P""","=""3""","=""3d5.(4P).4p""","=""z 5S*""","=""2""",,"=""T4288""","=""L14866""",
"=""469.73880""","=""0.00006""","=""469.73881""","=""0.00004""","=""27""","=""1.6e+07""","=""1.7e-02""","=""-1.29""",D,"=""3.36940787""","=""6.0080980""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3P*""","=""2""",,"=""T3963""","=""L14866""",
"=""469.84599""","=""0.00005""","=""469.84597""","=""0.00004""","=""140""","=""1.5e+08""","=""5.7e-02""","=""-0.29""",D,"=""3.14419143""","=""5.78227967""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""3d4.4s.5s""","=""f 7D""","=""3""",,"=""T3963""","=""L14866""",
"=""469.89433""","=""0.00006""","=""469.894346""","=""0.000020""","=""23""","=""1.1e+07""","=""5.2e-03""","=""-1.44""",D,"=""3.07899825""","=""5.71681492""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d5.(4P).4p""","=""y 3D*""","=""2""",,"=""T3963""","=""L14866""",
"=""469.9585""","=""0.0004""","=""469.95867""","=""0.00015""","=""25""","=""1.2e+08""","=""5.5e-02""","=""-0.41""",D,"=""4.2073736""","=""6.8448292""","=""3d4.4s2""","=""c 3D""","=""3""","=""3d5.(2D1).4p""","=""v 3F*""","=""4""",,"=""T3963""","=""L9190""",
"=""470.06101""","=""0.00005""","=""470.06113""","=""0.00013""","=""86""","=""1.68e+07""","=""1.86e-02""","=""-1.254""",B,"=""2.70991379""","=""5.3467945""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d5.(4P).4p""","=""z 5S*""","=""2""",,"=""u10""","=""L14866""",
"=""470.60892""","=""0.00006""","=""470.608911""","=""0.000020""","=""38""","=""1.8e+07""","=""8.3e-03""","=""-1.24""",D,"=""3.11278390""","=""5.74659540""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""2""",,"=""T4288""","=""L14866""",
"=""470.77482""","=""0.00006""","=""470.77482""","=""0.00004""","=""30""","=""1.6e+07""","=""1.0e-02""","=""-1.29""",D,"=""3.37521461""","=""6.0080980""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3P*""","=""2""",,"=""T3963""","=""L14866""",
"=""470.80125""","=""0.00005""","=""470.80126""","=""0.00003""","=""190""","=""3.88e+08""","=""1.17e-01""","=""0.110""",B,"=""3.16762385""","=""5.80035930""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""","=""3d4.4s.5s""","=""f 7D""","=""4""",,"=""u10""","=""L14866""",
"=""471.76835""","=""0.00006""","=""471.76834""","=""0.00003""","=""25""","=""5.4e+06""","=""2.0e-03""","=""-1.74""",D,"=""3.12159404""","=""5.74893273""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""3""",,"=""T3963""","=""L14866""",
"=""471.84197""","=""0.00005""","=""471.84198""","=""0.00005""","=""230""","=""3.7e+08""","=""9.6e-02""","=""0.10""",D,"=""3.1952485""","=""5.82217714""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""6""","=""3d4.4s.5s""","=""f 7D""","=""5""",,"=""T4288""","=""L14866""",
"=""472.26503""","=""0.00016""","=""472.26506""","=""0.00005""","=""6""","=""3.4e+06""","=""2.3e-03""","=""-1.94""",D,"=""3.0922396""","=""5.71681492""","=""3d4.4s2""","=""a 3F""","=""2""","=""3d5.(4P).4p""","=""y 3D*""","=""2""",,"=""T3963""","=""L14866""",
"=""472.30972""","=""0.00006""","=""472.30973""","=""0.00004""","=""75""","=""6.5e+07""","=""3.1e-02""","=""-0.66""",D,"=""3.07899825""","=""5.70332536""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d5.(4G).4p""","=""y 3F*""","=""3""",,"=""T1621n""","=""L14866""",
"=""472.44123""","=""0.00005""","=""472.44122""","=""0.00003""","=""95""","=""5.53e+07""","=""2.06e-02""","=""-0.733""",B,"=""3.08689206""","=""5.71048876""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d5.(4G).4p""","=""y 3F*""","=""4""",,"=""u10""","=""L14866""",
"=""472.71496""","=""0.00005""","=""472.71496""","=""0.00003""","=""130""","=""6.6e+07""","=""1.7e-02""","=""-0.65""",D,"=""3.00044215""","=""5.62251964""","=""3d4.4s2""","=""a 3H""","=""6""","=""3d5.(4G).4p""","=""z 3H*""","=""6""",,"=""T1621n""","=""L14866""",
"=""472.98413""","=""0.00012""","=""472.98414""","=""0.00007""","=""11""","=""5.1e+07""","=""3.4e-02""","=""-0.77""",D,"=""3.0922396""","=""5.71282481""","=""3d4.4s2""","=""a 3F""","=""2""","=""3d5.(4P).4p""","=""y 3D*""","=""1""",,"=""T1621n""","=""L14866""",
"=""473.07101""","=""0.00005""","=""473.07101""","=""0.00004""","=""290""","=""1.92e+08""","=""9.18e-02""","=""-0.192""",B,"=""3.07899825""","=""5.6991023""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d5.(4G).4p""","=""y 3F*""","=""2""",,"=""u10""","=""L14866""",
"=""473.73471""","=""0.00005""","=""473.73471""","=""0.00004""","=""360""","=""2.37e+08""","=""8.85e-02""","=""-0.099""",B,"=""3.08689206""","=""5.70332536""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d5.(4G).4p""","=""y 3F*""","=""3""",,"=""u10""","=""L14866""",
"=""474.1092""","=""0.002""","=""474.1101""","=""0.0009""","=""12""","=""1.1e+08""","=""1.2e-01""","=""-0.43""",D,"=""4.2038751""","=""6.818237""","=""3d4.4s2""","=""c 3D""","=""1""","=""3d5.(2D1).4p""","=""v 3F*""","=""2""",,"=""T3963""","=""L808""",
"=""474.3118""","=""0.004""","=""474.31106""","=""0.00011""","=""12w""","=""4.0e+07""","=""4.5e-02""","=""-0.87""",D,"=""4.20272344""","=""6.8159775""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d4.4s.5s""","=""e 3D""","=""2""",,"=""T3963""","=""L808""",
"=""474.53065""","=""0.00006""","=""474.53073""","=""0.00003""","=""33""","=""1.8e+07""","=""8.7e-03""","=""-1.22""",D,"=""2.70791527""","=""5.31995962""","=""3d5.(4P).4s""","=""a 5P""","=""3""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""4""",,"=""T1621n""","=""L14866""",
"=""475.20875""","=""0.00005""","=""475.20875""","=""0.00004""","=""210""","=""8.1e+08""","=""2.1e-01""","=""0.44""",D,"=""4.1860366""","=""6.7943542""","=""3d5.(2I).4s""","=""b 1I""","=""6""","=""3d4.(1I).4s.4p.(3P*)""","=""3K*""","=""6""",,"=""T3963""","=""L14866""",
"=""475.473""","=""0.003""","=""475.47397""","=""0.00007""","=""20""","=""1.3e+07""","=""8.8e-03""","=""-1.36""",D,"=""3.0922396""","=""5.6991023""","=""3d4.4s2""","=""a 3F""","=""2""","=""3d5.(4G).4p""","=""y 3F*""","=""2""",,"=""T3963""","=""L808""",
"=""475.51401""","=""0.00006""","=""475.51406""","=""0.00003""","=""37""","=""1.1e+07""","=""4.0e-03""","=""-1.45""",D,"=""3.01062753""","=""5.61727046""","=""3d5.(4D).4s""","=""b 5D""","=""4""","=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""5""",,"=""T3963""","=""L14866""",
"=""475.6118""","=""0.0006""","=""475.61118""","=""0.00003""","=""100*""","=""3.6e+08""","=""1.1e-01""","=""0.09""",D,"=""3.10437812""","=""5.71048876""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d5.(4G).4p""","=""y 3F*""","=""4""",,"=""T4288""","=""L9190""",
"=""475.7316""","=""0.0004""","=""475.7321""","=""0.0005""","=""15""","=""8.4e+07""","=""5.7e-02""","=""-0.54""",D,"=""4.23907331""","=""6.844522""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""","=""3d4.4s.5s""","=""e 3D""","=""3""",,"=""T3963""","=""L9190""",
"=""475.75902""","=""0.00006""","=""475.75901""","=""0.00003""","=""35""","=""3.6e+07""","=""1.7e-02""","=""-0.92""",D,"=""3.55053095""","=""6.15583182""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d5.(4D).4p""","=""x 3F*""","=""3""",,"=""T3963""","=""L14866""",
"=""476.42940""","=""0.00005""","=""476.42941""","=""0.00003""","=""190""","=""1.5e+08""","=""7.4e-02""","=""-0.28""",D,"=""3.55053095""","=""6.15216585""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d5.(4D).4p""","=""x 3F*""","=""4""",,"=""T4288""","=""L14866""",
"=""476.46428""","=""0.00006""","=""476.46434""","=""0.00003""","=""25""","=""6.6e+06""","=""3.2e-03""","=""-1.65""",D,"=""3.01329987""","=""5.61474406""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""4""",,"=""T3963""","=""L14866""",
"=""476.72662""","=""0.00006""","=""476.72665""","=""0.00003""","=""28""","=""2.8e+07""","=""1.9e-02""","=""-1.02""",D,"=""3.55614020""","=""6.15615299""","=""3d5.(4D).4s""","=""a 3D""","=""2""","=""3d5.(4D).4p""","=""x 3F*""","=""2""",,"=""T3963""","=""L14866""",
"=""476.78553""","=""0.00005""","=""476.78555""","=""0.00003""","=""98""","=""8.4e+07""","=""5.7e-02""","=""-0.54""",D,"=""3.55614020""","=""6.15583182""","=""3d5.(4D).4s""","=""a 3D""","=""2""","=""3d5.(4D).4p""","=""x 3F*""","=""3""",,"=""T4288""","=""L14866""",
"=""477.06725""","=""0.00008""","=""477.06733""","=""0.00003""","=""16""","=""6.9e+06""","=""4.7e-03""","=""-1.63""",D,"=""3.01279642""","=""5.61095253""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""3""",,"=""T4288""","=""L14866""",
"=""477.51297""","=""0.00010""","=""477.51303""","=""0.00004""","=""15""","=""2.6e+07""","=""1.3e-02""","=""-1.05""",D,"=""3.55053095""","=""6.14626205""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5G*""","=""4""",,"=""T4288""","=""L14866""",
