obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""448.03604""","=""0.00011""","=""448.03610""","=""0.00004""","=""11""","=""2.4e+07""","=""1.1e-02""","=""-1.13""",D,"=""3.55053095""","=""6.31703615""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d4.(3G).4s.4p.(3P*)""","=""w 3F*""","=""3""",,"=""T3963""","=""L14866""",
"=""448.28708""","=""0.00006""","=""448.28707""","=""0.00003""","=""53""","=""9.0e+07""","=""9.0e-02""","=""-0.57""",D,"=""3.36940787""","=""6.13436429""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d5.(4P).4p""","=""y 3S*""","=""1""",,"=""T1621n""","=""L14866""",
"=""449.055""","=""0.006""","=""449.050""","=""0.004""","=""8wl""","=""2.7e+08""","=""9.2e-02""","=""-0.08""",D,"=""3.89035912""","=""6.650619""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""3d4.4s.5p""","=""s 5D*""","=""3""",,"=""T3963""","=""L808""",
"=""449.1687""","=""0.002""","=""449.17308""","=""0.00024""","=""30""","=""3.1e+07""","=""1.3e-02""","=""-1.03""",D,"=""2.89953685""","=""5.6590394""","=""3d5.(6S).4p""","=""z 7P*""","=""3""","=""3d5.(6S).6s""","=""f 7S""","=""3""",,"=""T4288""","=""L808""",
"=""449.18497""","=""0.00006""","=""449.184975""","=""0.000020""","=""37""","=""1.7e+07""","=""1.0e-02""","=""-1.29""",D,"=""2.98716595""","=""5.74659540""","=""3d4.4s2""","=""a 3P""","=""2""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""2""",,"=""T4288""","=""L14866""",
"=""449.23052""","=""0.00004""","=""449.23052""","=""0.00003""","=""89""","=""1.34e+08""","=""8.12e-02""","=""-0.392""",B,"=""3.37521461""","=""6.13436429""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d5.(4P).4p""","=""y 3S*""","=""1""",,"=""u10""","=""L14866""",
"=""449.5282""","=""0.002""","=""449.5266""","=""0.0010""","=""12""","=""1.4e+08""","=""4.7e-02""","=""-0.37""",D,"=""4.1055150""","=""6.862848""","=""3d5.(2F1).4s""","=""b 3F""","=""4""","=""3d5.(4G).5p""","=""u 3F*""","=""3""",,"=""T3963""","=""L808""",
"=""449.68518""","=""0.00004""","=""449.685195""","=""0.000016""","=""1300""","=""2.3e+07""","=""1.4e-02""","=""-1.15""",B,"=""0.94143042""","=""3.69779039""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""3""",,"=""T4624,T4913""","=""L14866""",
"=""449.87239""","=""0.00004""","=""449.872367""","=""0.000020""","=""95""","=""4.0e+07""","=""4.0e-02""","=""-0.92""",D,"=""2.91511324""","=""5.67032643""","=""3d4.4s2""","=""a 3P""","=""1""","=""3d5.(4P).4p""","=""y 3P*""","=""2""",,"=""T4288""","=""L14866""",
"=""450.02778""","=""0.00004""","=""450.02775""","=""0.00003""","=""160""","=""1.5e+08""","=""6.4e-02""","=""-0.35""",D,"=""3.07899825""","=""5.83326016""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d5.(4G).4p""","=""y 3G*""","=""3""",,"=""T3963""","=""L14866""",
"=""450.17724""","=""0.00006""","=""450.17726""","=""0.00003""","=""37""","=""3.0e+07""","=""3.0e-02""","=""-1.04""",D,"=""2.91511324""","=""5.66846045""","=""3d4.4s2""","=""a 3P""","=""1""","=""3d5.(4P).4p""","=""y 3P*""","=""1""",,"=""T3963""","=""L14866""",
"=""450.304""","=""0.003""","=""450.3091""","=""0.0020""","=""12""","=""2.5e+07""","=""1.5e-02""","=""-1.12""",D,"=""4.69694311""","=""7.449484""","=""3d5.(6S).5s""","=""e 5S""","=""2""","=""3d4.(3P1).4s.4p.(1P*)""","=""x 3S*""","=""1""",,"=""T3963""","=""L808""",
"=""450.68389""","=""0.00006""","=""450.68388""","=""0.00005""","=""48""","=""3.0e+08""","=""7.0e-02""","=""-0.04""",D,"=""4.1860366""","=""6.9362888""","=""3d5.(2I).4s""","=""b 1I""","=""6""","=""3d5.(2I).4p""","=""y 1H*""","=""5""",,"=""T1621n""","=""L14866""",
"=""451.0005""","=""0.0004""","=""451.00073""","=""0.00012""","=""15""","=""1.2e+06""","=""7.5e-04""","=""-2.43""",E,"=""4.5326696""","=""7.2809897""","=""3d5.(2F2).4s""","=""d 3F""","=""2""","=""3d5.(4F).4p""","=""u 3D*""","=""1""",,"=""T3963""","=""L9190""",
"=""451.18909""","=""0.00004""","=""451.189055""","=""0.000020""","=""210""","=""1.48e+08""","=""5.04e-02""","=""-0.343""",B,"=""3.08689206""","=""5.83406495""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d5.(4G).4p""","=""y 3G*""","=""4""",,"=""u10""","=""L14866""",
"=""451.43580""","=""0.00006""","=""451.43575""","=""0.00006""","=""31""","=""1.4e+08""","=""3.4e-02""","=""-0.36""",D,"=""4.1860366""","=""6.9317083""","=""3d5.(2I).4s""","=""b 1I""","=""6""","=""3d4.(1I).4s.4p.(3P*)""","=""u 3H*""","=""6""",,"=""T3963""","=""L14866""",
"=""451.54301""","=""0.00006""","=""451.54304""","=""0.00003""","=""50""","=""2.0e+07""","=""6.7e-03""","=""-1.22""",D,"=""3.01062753""","=""5.75564682""","=""3d5.(4D).4s""","=""b 5D""","=""4""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""4""",,"=""T3963""","=""L14866""",
"=""452.48341""","=""0.00015""","=""452.48347""","=""0.00008""","=""7""","=""9.9e+07""","=""3.4e-02""","=""-0.52""",D,"=""4.1055150""","=""6.8448292""","=""3d5.(2F1).4s""","=""b 3F""","=""4""","=""3d5.(2D1).4p""","=""v 3F*""","=""4""",,"=""T3963""","=""L14866""",
"=""452.64537""","=""0.00005""","=""452.64538""","=""0.00003""","=""960""","=""2.28e+08""","=""5.38e-02""","=""-0.155""",B,"=""2.54410014""","=""5.28243456""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d5.(4G).4p""","=""z 5G*""","=""6""",,"=""T4913""","=""L14866""",
"=""452.7335""","=""0.002""","=""452.73451""","=""0.00004""","=""40""","=""2.7e+07""","=""7.6e-03""","=""-1.08""",B,"=""2.54463928""","=""5.28243456""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4G).4p""","=""z 5G*""","=""6""",,"=""T4913""","=""L808""",
