obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""464.1876""","=""464.18750""","=""0.00011""","=""10""","=""6.16e+02""","=""1.0e-06""","=""-5.7""",AAA,"=""0.00000000""","=""2.6702462""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.3d""","=""2D""","=""3/2""",E2,"=""T5364""","=""L6096""",
"=""464.2373""","=""464.23725""","=""0.00011""","=""11""","=""9.24e+02""","=""1.49e-06""","=""-5.5""",AAA,"=""0.00000000""","=""2.6699600""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.3d""","=""2D""","=""5/2""",E2,"=""T5364""","=""L6096""",
"=""474.0914""","=""474.092019""","=""0.000016""","=""4""","=""1.6e+05""","=""2.7e-04""","=""-3.27""",E,"=""1.60995784350""","=""4.22441928""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.13s""","=""2S""","=""1/2""",,"=""T1619extrap,LS""","=""L6096""",
"=""474.4345""","=""474.434024""","=""0.000016""","=""6""","=""3.9e+05""","=""6.6e-04""","=""-2.88""",C,"=""1.60995784350""","=""4.22253462""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.11d""","=""2D""","=""3/2""",,"=""T817LS""","=""L6096""",
"=""475.3934""","=""475.393077""","=""0.000016""","=""5""","=""3.2e+05""","=""2.7e-04""","=""-2.96""",D+,"=""1.6171130092""","=""4.22441928""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.13s""","=""2S""","=""1/2""",,"=""T1619extrap,LS""","=""L6096""",
"=""""","=""475.736962""","=""0.000016""","=""""","=""7.6e+04""","=""6.5e-05""","=""-3.59""",E,"=""1.6171130092""","=""4.22253462""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.11d""","=""2D""","=""3/2""",,"=""T817LS""","=""""",
"=""475.7389""","=""475.737719""","=""0.000016""","=""7""","=""7.2e+05""","=""6.1e-04""","=""-2.61""",C,"=""1.6171130092""","=""4.22253048""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.11d""","=""2D""","=""5/2""",,"=""T817LS""","=""L6096""",
"=""478.6491""","=""478.649091""","=""0.000016""","=""5""","=""2.06e+05""","=""3.54e-04""","=""-3.150""",C,"=""1.60995784350""","=""4.19952815""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.12s""","=""2S""","=""1/2""",,"=""T817,T204,LS""","=""L6096""",
"=""479.1049""","=""479.104132""","=""0.000016""","=""7""","=""5.2e+05""","=""9.0e-04""","=""-2.75""",C,"=""1.60995784350""","=""4.19706867""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.10d""","=""2D""","=""3/2""",,"=""T817n,T204n,LS""","=""L6096""",
"=""479.9754""","=""479.975316""","=""0.000016""","=""6""","=""4.14e+05""","=""3.58e-04""","=""-2.844""",C,"=""1.6171130092""","=""4.19952815""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.12s""","=""2S""","=""1/2""",,"=""T817,T204,LS""","=""L6096""",
