Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s.2s.2p""","=""4P*""","=""1/2""","=""""","=""57.469""","=""""","=""0.012""","=""52.077""","="""""
"=""1s.2s.2p""","=""4P*""","=""3/2""","=""""","=""57.469""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.2p""","=""4P*""","=""5/2""","=""""","=""57.469""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.(1P*).2s""","=""2P*""","=""1/2""","=""""","=""58.911""","=""""","=""0.012""","=""1.44""","="""""
"=""1s.2p.(1P*).2s""","=""2P*""","=""3/2""","=""""","=""58.911""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p2""","=""4P""","=""1/2""","=""""","=""60.807""","=""""","=""0.012""","=""1.90""","="""""
"=""1s.2p2""","=""4P""","=""3/2""","=""""","=""60.807""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p2""","=""4P""","=""5/2""","=""""","=""60.807""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.3p""","=""4P*""","=""1/2""","=""""","=""61.319""","=""""","=""0.012""","=""0.51""","="""""
"=""1s.2s.3p""","=""4P*""","=""3/2""","=""""","=""61.319""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.3p""","=""4P*""","=""5/2""","=""""","=""61.319""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p2""","=""2P""","=""1/2""","=""""","=""61.599""","=""""","=""0.012""","=""0.28""","="""""
"=""1s.2p2""","=""2P""","=""3/2""","=""""","=""61.599""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2s.3s""","=""4S""","=""3/2""","=""""","=""61.69""","=""""","=""0.12""","=""0.1""","="""""
"=""1s.2p.3s""","=""4P*""","=""1/2""","=""""","=""62.769""","=""""","=""0.012""","=""1.1""","="""""
"=""1s.2p.3s""","=""4P*""","=""3/2""","=""""","=""62.769""","=""""","=""0.012""","=""0.00""","="""""
"=""1s.2p.3s""","=""4P*""","=""5/2""","=""""","=""62.769""","=""""","=""0.012""","=""0.00""","="""""
