Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5p6.21f""","=""2F*""","=""7/2""","=""[""","=""3.862956416""","=""]""","=""0.000000025""","=""0.00004963""","=""L7057,L6284"""
"=""5p6.21f""","=""2F*""","=""5/2""","=""[""","=""3.862956850""","=""]""","=""0.000000025""","=""0.00000043""","=""L7057"""
"=""5p6.21g""","=""2G""","=""7/2""","=""[""","=""3.863033441""","=""]""","=""0.000000019""","=""0.00007659""","=""L7057"""
"=""5p6.25p""","=""2P*""","=""1/2""","=""""","=""3.864217654""","=""""","=""0.000000019""","=""0.00118421""","=""L7057"""
"=""5p6.25p""","=""2P*""","=""3/2""","=""""","=""3.864307580""","=""""","=""0.000000019""","=""0.00008993""","=""L7057,L6284"""
"=""5p6.24d""","=""2D""","=""3/2""","=""""","=""3.86453966""","=""""","=""0.00000006""","=""0.00023208""","=""L6147"""
"=""5p6.24d""","=""2D""","=""5/2""","=""""","=""3.864564140""","=""""","=""0.000000025""","=""0.00002448""","=""L7057"""
"=""5p6.22f""","=""2F*""","=""7/2""","=""""","=""3.865710008""","=""""","=""0.000000021""","=""0.00114587""","=""L7057,L6284"""
"=""5p6.22f""","=""2F*""","=""5/2""","=""""","=""3.865710380""","=""""","=""0.000000019""","=""0.00000037""","=""L7057"""
"=""5p6.22g""","=""2G""","=""7/2""","=""""","=""3.865777177""","=""""","=""0.000000019""","=""0.00006680""","=""L7057"""
"=""5p6.25d""","=""2D""","=""3/2""","=""""","=""3.86708893""","=""""","=""0.00000006""","=""0.00131175""","=""L7057,L5177"""
"=""5p6.25d""","=""2D""","=""5/2""","=""""","=""3.867110622""","=""""","=""0.000000025""","=""0.00002169""","=""L7057"""
"=""5p6.23f""","=""2F*""","=""7/2""","=""[""","=""3.868111803""","=""]""","=""0.000000025""","=""0.00100118""","=""L7057,L6284"""
"=""5p6.23f""","=""2F*""","=""5/2""","=""[""","=""3.868112125""","=""]""","=""0.000000025""","=""0.00000032""","=""L7057"""
"=""5p6.23g""","=""2G""","=""7/2""","=""[""","=""3.868170529""","=""]""","=""0.000000019""","=""0.00005840""","=""L7057"""
"=""5p6.24f""","=""2F*""","=""7/2""","=""""","=""3.870219302""","=""""","=""0.000000021""","=""0.00204877""","=""L7057,L6284"""
"=""5p6.24f""","=""2F*""","=""5/2""","=""""","=""3.870219596""","=""""","=""0.000000019""","=""0.00000029""","=""L7057"""
"=""5p6.24g""","=""2G""","=""7/2""","=""""","=""3.870271119""","=""""","=""0.000000019""","=""0.00005152""","=""L7057"""
"=""5p6.25f""","=""2F*""","=""7/2""","=""[""","=""3.872078690""","=""]""","=""0.000000025""","=""0.00180757""","=""L7057,L6284"""
"=""5p6.25f""","=""2F*""","=""5/2""","=""[""","=""3.872078950""","=""]""","=""0.000000025""","=""0.00000026""","=""L7057"""
"=""5p6.25g""","=""2G""","=""7/2""","=""[""","=""3.872124481""","=""]""","=""0.000000019""","=""0.00004553""","=""L7057"""
"=""Cs II (5s2.5p6 1S<0>)""","=""Limit""","=""---""","=""""","=""3.89390572743""","=""""","=""0.00000000017""","=""""","=""L19479"""
"=""5p5.6s2""","=""2P*""","=""3/2""","=""""","=""12.307""","=""""","=""0.004""","=""8.413""","=""L15673"""
"=""5p5.6s2""","=""2P*""","=""1/2""","=""""","=""13.5228""","=""""","=""0.0022""","=""1.216""","=""L15673"""
"=""5p5.6s.(3P*).5d""","=""4P*""","=""5/2""","=""""","=""13.1727""","=""""","=""0.0004""","=""-0.350""","="""""
"=""5p5.6s.(3P*).5d""","=""4D*""","=""1/2""","=""""","=""14.5917""","=""""","=""0.0006""","=""1.4190""","=""L9536"""
