Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""27p""","=""2P*""","=""1/2""","=""""","=""4.045628""","=""""","=""0.000006""","=""0.001180""","=""L11797"""
"=""27p""","=""2P*""","=""3/2""","=""""","=""4.045864""","=""""","=""0.000006""","=""0.000236""","=""L11797"""
"=""26d""","=""2D""","=""3/2""","=""""","=""4.046047""","=""""","=""0.000004""","=""0.000183""","=""L11797"""
"=""26d""","=""2D""","=""5/2""","=""""","=""4.046097""","=""""","=""0.000004""","=""0.000050""","=""L11797"""
"=""28s""","=""2S""","=""1/2""","=""""","=""4.046862""","=""""","=""0.000004""","=""0.000765""","=""L11797"""
"=""28p""","=""2P*""","=""1/2""","=""""","=""4.047896""","=""""","=""0.000006""","=""0.001034""","=""L11797"""
"=""28p""","=""2P*""","=""3/2""","=""""","=""4.048103""","=""""","=""0.000006""","=""0.000207""","=""L11797"""
"=""27d""","=""2D""","=""3/2""","=""""","=""4.048263""","=""""","=""0.000004""","=""0.000160""","=""L11797"""
"=""27d""","=""2D""","=""5/2""","=""""","=""4.048306""","=""""","=""0.000004""","=""0.000043""","=""L11797"""
"=""29s""","=""2S""","=""1/2""","=""""","=""4.048979""","=""""","=""0.000004""","=""0.000673""","=""L11797"""
"=""29p""","=""2P*""","=""1/2""","=""""","=""4.049891""","=""""","=""0.000006""","=""0.000912""","=""L11797"""
"=""29p""","=""2P*""","=""3/2""","=""""","=""4.050073""","=""""","=""0.000006""","=""0.000182""","=""L11797"""
"=""28d""","=""2D""","=""3/2""","=""""","=""4.050214""","=""""","=""0.000004""","=""0.000141""","=""L11797"""
"=""28d""","=""2D""","=""5/2""","=""""","=""4.050253""","=""""","=""0.000004""","=""0.000039""","=""L11797"""
"=""30s""","=""2S""","=""1/2""","=""""","=""4.050848""","=""""","=""0.000004""","=""0.000595""","=""L11797"""
"=""30p""","=""2P*""","=""1/2""","=""""","=""4.051655""","=""""","=""0.000006""","=""0.000807""","=""L11797"""
"=""30p""","=""2P*""","=""3/2""","=""""","=""4.051816""","=""""","=""0.000006""","=""0.000161""","=""L11797"""
"=""29d""","=""2D""","=""3/2""","=""""","=""4.051941""","=""""","=""0.000004""","=""0.000125""","=""L11797"""
"=""29d""","=""2D""","=""5/2""","=""""","=""4.051976""","=""""","=""0.000004""","=""0.000035""","=""L11797"""
"=""30d""","=""2D""","=""3/2""","=""""","=""4.053477""","=""""","=""0.000004""","=""0.001501""","=""L11797"""
"=""30d""","=""2D""","=""5/2""","=""""","=""4.053508""","=""""","=""0.000004""","=""0.000031""","=""L11797"""
"=""Fr II (6p6 1S<0>)""","=""Limit""","=""---""","=""""","=""4.0727411""","=""""","=""0.0000011""","=""""","=""L10714"""
