 	 	 3/2 	  4.24178946                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p614s 	 2S 	 1/2 	  4.24326141                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p612f 	 2F° 	 5/2 	  4.246009                      	  0.000006       	  	 L2996 
 	 	 7/2 	  4.246009                      	  0.000006       	  	 L2996 
 	 	 	 	 	 	 
3p614p 	 2P° 	 1/2 	  4.2505078                     	  0.0000004      	  	 L5783 
 	 	 3/2 	  4.2505525                     	  0.0000004      	  	 L5783 
 	 	 	 	 	 	 
3p613d 	 2D 	 5/2 	  4.25669527                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.25669770                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p615s 	 2S 	 1/2 	  4.25786720                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p613f 	 2F° 	 5/2 	  4.260018                      	  0.000007       	  	 L2996 
 	 	 7/2 	  4.260018                      	  0.000007       	  	 L2996 
 	 	 	 	 	 	 
3p615p 	 2P° 	 1/2 	  4.2635725                     	  0.0000004      	  	 L5783 
 	 	 3/2 	  4.2636076                     	  0.0000004      	  	 L5783 
 	 	 	 	 	 	 
3p614d 	 2D 	 5/2 	  4.26847235                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.26847426                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p616s 	 2S 	 1/2 	  4.26941772                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p614f 	 2F° 	 5/2 	  4.271129                      	  0.000009       	  	 L2996 
 	 	 7/2 	  4.271129                      	  0.000009       	  	 L2996 
 	 	 	 	 	 	 
3p616p 	 2P° 	 1/2 	  4.2739895                     	  0.0000004      	  	 L5783 
 	 	 3/2 	  4.2740180                     	  0.0000004      	  	 L5783 
 	 	 	 	 	 	 
3p615d 	 2D 	 5/2 	  4.27793645                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.27793798                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p617s 	 2S 	 1/2 	  4.27870944                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p617p 	 2P° 	 1/2 	  4.2824297                     	  0.0000004      	  	 L5783 
 	 	 3/2 	  4.2824525                     	  0.0000004      	  	 L5783 
 	 	 	 	 	 	 
3p616d 	 2D 	 5/2 	  4.28565541                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.28565667                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p618s 	 2S 	 1/2 	  4.28629513                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p618p 	 2P° 	 1/2 	  4.2893629                     	  0.0000004      	  	 L5783 
 	 	 3/2 	  4.2893821                     	  0.0000004      	  	 L5783 
 	 	 	 	 	 	 
3p617d 	 2D 	 5/2 	  4.29203309                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.29203414                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p619s 	 2S 	 1/2 	  4.29256822                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p619p 	 2P° 	 3/2 	  4.2951436                     	  0.0000004      	  	 L5783 
 	 	 	 	 	 	 
3p618d 	 2D 	 5/2 	  4.29736301                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.29736388                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p620s 	 2S 	 1/2 	  4.29781505                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p620p 	 2P° 	 3/2 	  4.2999855                     	  0.0000004      	  	 L5783 
 	 	 	 	 	 	 
3p619d 	 2D 	 5/2 	  4.30186273                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.30186348                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p621s 	 2S 	 1/2 	  4.30224787                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p621p 	 2P° 	 3/2 	  4.3040947                     	  0.0000004      	  	 L5783 
 	 	 	 	 	 	 
3p620d 	 2D 	 5/2 	  4.30569594                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.30569657                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p622s 	 2S 	 1/2 	  4.30602671                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p621d 	 2D 	 5/2 	  4.30898808                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.30898863                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p623s 	 2S 	 1/2 	  4.30927424                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p622d 	 2D 	 5/2 	  4.31183638                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.31183685                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p624s 	 2S 	 1/2 	  4.31208546                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p623d 	 2D 	 5/2 	  4.31431710                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.31431751                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p625s 	 2S 	 1/2 	  4.31453530                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p624d 	 2D 	 5/2 	  4.31649092                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.31649130                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p626s 	 2S 	 1/2 	  4.31668309                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p625d 	 2D 	 5/2 	  4.31840644                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.31840675                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p627s 	 2S 	 1/2 	  4.31857656                    	  0.00000009     	  	 L5451 
 	 	 	 	 	 	 
3p626d 	 2D 	 5/2 	  4.32010298                    	  0.00000009     	  	 L5451 
 	 	 3/2 	  4.32010327                    	  0.00000009     	  	 L5451 
