Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p5.3s.(3P*).3d""","=""4P*""","=""1/2""","=""""","=""36.2306""","=""""","=""0.0005""","=""0.016""","=""  94                                           or  :    62  2p5.3s.(3P*<2>).3d    2[0]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""","=""""","=""36.2392""","=""""","=""0.0005""","=""0.0086""","=""  77                                           or  :    73  2p5.3s.(3P*<2>).3d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""9/2""","=""""","=""36.2456""","=""""","=""0.0005""","=""0.0064""","=""  99                                           or  :    99  2p5.3s.(3P*<2>).3d    2[4]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""7/2""","=""""","=""36.2591""","=""""","=""0.0005""","=""0.0135""","=""  53                                           or  :    84  2p5.3s.(3P*<2>).3d    2[3]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""5/2""","=""""","=""36.3167""","=""""","=""0.0005""","=""0.0576""","=""  56                                           or  :    57  2p5.3s.(3P*<1>).3d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""3/2""","=""""","=""36.3928""","=""""","=""0.0005""","=""0.0761""","=""  58                                           or  :    61  2p5.3s.(3P*<0>).3d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""","=""""","=""36.2529""","=""""","=""0.0005""","=""-0.1399""","=""  48                                           or  :    81  2p5.3s.(3P*<2>).3d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4D*""","=""3/2""","=""""","=""36.3286""","=""""","=""0.0005""","=""0.0757""","=""  43                                           or  :    37  2p5.3s.(3P*<1>).3d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4D*""","=""1/2""","=""""","=""36.3439""","=""""","=""0.0005""","=""0.0153""","=""  87                                           or  :    71  2p5.3s.(3P*<1>).3d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).4p""","=""2D""","=""3/2""","=""""","=""36.5820""","=""""","=""0.0019""","=""0.238""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).3d""","=""2P*""","=""3/2""","=""""","=""36.6118""","=""""","=""0.0009""","=""0.030""","=""  54                                           or  :    54  2p5.3s.(1P*<1>).3d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).3d""","=""2P*""","=""1/2""","=""""","=""36.6406""","=""""","=""0.0009""","=""0.029""","=""  70                                           or  :    70  2p5.3s.(1P*<1>).3d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).3d""","=""2D*""","=""5/2""","=""""","=""36.667""","=""""","=""0.011""","=""0.03""","=""  67                                           or  :    67  2p5.3s.(1P*<1>).3d    2[2]*       ""","="""""
"=""2p5.3s.(1P*).3d""","=""2D*""","=""3/2""","=""""","=""36.6682""","=""""","=""0.0017""","=""0.001""","=""  54                                           or  :    54  2p5.3s.(1P*<1>).3d    2[2]*       ""","="""""
"=""2p5.3s.(1P*).4p""","=""2D""","=""5/2""","=""""","=""36.7707""","=""""","=""0.0019""","=""0.102""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).4p""","=""2D""","=""3/2""","=""""","=""36.8293""","=""""","=""0.0019""","=""0.059""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).4p""","=""2S""","=""1/2""","=""""","=""36.7759""","=""""","=""0.0019""","=""-0.053""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).4p""","=""2P""","=""3/2""","=""""","=""36.7995""","=""""","=""0.0019""","=""0.024""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).4p""","=""2P""","=""1/2""","=""""","=""36.8383""","=""""","=""0.0019""","=""0.039""","=""                                                                                              ""","="""""
"=""2p5.3s.(3P*).5s""","=""4P*""","=""3/2""","=""""","=""36.8325""","=""""","=""0.0009""","=""-0.006""","=""  60                                           or  :    76  2p5.3s.(3P*<2>).5s    2[2]*       ""","="""""
"=""2p5.3s.(3P*).5s""","=""2P*""","=""3/2""","=""""","=""36.9033""","=""""","=""0.0009""","=""0.071""","=""  55                                           or  :    74  2p5.3s.(3P*<1>).5s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).5s""","=""2P*""","=""1/2""","=""""","=""36.9907""","=""""","=""0.0009""","=""0.087""","=""  63                                           or  :    83  2p5.3s.(3P*<0>).5s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).4d""","=""2P*""","=""1/2""","=""""","=""36.9131""","=""""","=""0.0009""","=""-0.078""","=""  71                                           or  :    39  2p5.3s.(3P*<2>).4d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).4d""","=""2P*""","=""3/2""","=""""","=""36.9284""","=""""","=""0.0009""","=""0.015""","=""  40                                           or  :    45  2p5.3s.(3P*<2>).4d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).4d""","=""2D*""","=""3/2""","=""""","=""37.0695""","=""""","=""0.0016""","=""0.141""","=""  43                                           or  :    41  2p5.3s.(3P*<1>).4d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).4d""","=""4F*""","=""3/2""","=""""","=""37.2002""","=""""","=""0.0009""","=""0.131""","=""  61                                           or  :    80  2p5.3s.(3P*<0>).4d    2[2]*       ""","="""""
"=""2p5.3s.(1P*).5s""","=""2P*?""","=""3/2""","=""""","=""37.2723""","=""""","=""0.0009""","=""0.072""","=""  79                                           or  :    79  2p5.3s.(1P*<1>).5s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6s""","=""2P*""","=""3/2""","=""""","=""37.2916""","=""""","=""0.0009""","=""0.019""","=""  47                                           or  :    76  2p5.3s.(3P*<2>).6s    2[2]*       ""","="""""
"=""2p5.3s.(3P*).6s""","=""4P*?""","=""3/2""","=""""","=""37.3717""","=""""","=""0.0009""","=""0.080""","=""  41                                           or  :    61  2p5.3s.(3P*<1>).6s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6s""","=""4P*?""","=""1/2""","=""""","=""37.3795""","=""""","=""0.0016""","=""0.008""","=""  54                                           or  :    81  2p5.3s.(3P*<1>).6s    2[1]*       ""","="""""
"=""2p5.3s.(1P*).4d""","=""2P*?""","=""3/2""","=""""","=""37.3921""","=""""","=""0.0009""","=""0.013""","=""  23                                           or  :    23  2p5.3s.(1P*<1>).4d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).4d""","=""2P*?""","=""1/2""","=""""","=""37.4403""","=""""","=""0.0009""","=""0.048""","=""  40  2p5.3s.(3P*).5d 4D*                      or  :    28  2p5.3s.(1P*<1>).4d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6s""","=""2P*?""","=""1/2""","=""""","=""37.4608""","=""""","=""0.0022""","=""0.020""","=""  51                                           or  :    90  2p5.3s.(3P*<0>).6s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).5d""","=""4F*?""","=""3/2""","=""""","=""37.4952""","=""""","=""0.0009""","=""0.034""","=""  30                                           or  :    60  2p5.3s.(3P*<1>).5d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).5d""","=""4D*?""","=""1/2""","=""""","=""37.5000""","=""""","=""0.0009""","=""0.005""","=""  41                                           or  :    56  2p5.3s.(3P*<1>).5d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).7s""","=""2P*""","=""3/2""","=""""","=""37.5283""","=""""","=""0.0009""","=""0.028""","=""  71                                           or  :    96  2p5.3s.(3P*<2>).7s    2[2]*       ""","="""""
"=""2p5.3s.(3P*).6d""","=""2P*?""","=""1/2""","=""""","=""37.5461""","=""""","=""0.0009""","=""0.018""","=""  63                                           or  :    37  2p5.3s.(3P*<2>).6d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6d""","=""4P*?""","=""1/2,3/2""","=""""","=""37.5961""","=""""","=""0.0009""","=""0.050""","=""  63                                           or  :        2p5.3s.(3P*<2>).6d    2[0]*,2[1]* ""","="""""
"=""2p5.3s.(3P*).7s""","=""2P*,4P*""","=""1/2,3/2""","=""""","=""37.6169""","=""""","=""0.0009""","=""0.021""","=""                                               or  :    89  2p5.3s.(3P*<1>).7s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6d""","=""4D*?""","=""1/2""","=""""","=""37.6519""","=""""","=""0.0009""","=""0.035""","=""                                               or  :        2p5.3s.(3P*<1>).6d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).8s""","=""2P*?""","=""3/2""","=""""","=""37.6588""","=""""","=""0.0022""","=""0.007""","=""  73                                           or  :    92  2p5.3s.(3P*<2>).8s    2[2]*       ""","="""""
"=""2p5.3s.(3P*).7s""","=""4P*""","=""1/2""","=""""","=""37.6880""","=""""","=""0.0009""","=""0.029""","=""  56                                           or  :    94  2p5.3s.(3P*<0>).7s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).7d""","=""4P*?""","=""3/2""","=""""","=""37.6979""","=""""","=""0.0009""","=""0.010""","=""  61                                           or  :    65  2p5.3s.(3P*<2>).7d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).7d""","=""2P*?""","=""1/2""","=""""","=""37.7024""","=""""","=""0.0022""","=""0.005""","=""  20  2p5.(2P*).3p2.(3P) 2P*                   or  :    17  2p5.3s.(3P*<2>).7d    2[0]*       ""","="""""
"=""2p5.3s.(3P*).9s""","=""2P*""","=""3/2""","=""""","=""37.7372""","=""""","=""0.0009""","=""0.035""","=""  66                                           or  :    81  2p5.3s.(3P*<2>).9s    2[2]*       ""","="""""
"=""2p5.3s.(1P*).6s""","=""2P*""","=""1/2,3/2""","=""""","=""37.7471""","=""""","=""0.0009""","=""0.010""","=""  47                                           or  :    47  2p5.3s.(1P*<1>).6s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6d""","=""4F*?""","=""3/2""","=""""","=""37.7590""","=""""","=""0.0009""","=""0.012""","=""  31                                           or  :    18  2p5.3s.(3P*<0>).6d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).8d""","=""4P*""","=""1/2,3/2""","=""""","=""37.7667""","=""""","=""0.0009""","=""0.008""","=""  63                                           or  :    69  2p5.3s.(3P*<2>).8d    2[0]*,2[1]* ""","="""""
"=""2p5.3s.(3P*).7d""","=""4D*""","=""1/2,3/2""","=""""","=""37.7863""","=""""","=""0.0024""","=""0.020""","=""  41                                           or  :    79  2p5.3s.(3P*<1>).7d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).10s""","=""2P*""","=""3/2""","=""""","=""37.7935""","=""""","=""0.0009""","=""0.007""","=""  78                                           or  :    94  2p5.3s.(3P*<2>).10s   2[2]*       ""","="""""
"=""2p5.3s.(3P*).9d""","=""4P*""","=""1/2,3/2""","=""""","=""37.8080""","=""""","=""0.0009""","=""0.014""","=""  70                                           or  :        2p5.3s.(3P*<2>).9d    2[0]*,2[1]* ""","="""""
"=""2p5.3s.(3P*).8s""","=""4P*""","=""1/2""","=""""","=""37.8210""","=""""","=""0.0009""","=""0.013""","=""  57                                           or  :    91  2p5.3s.(3P*<0>).8s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).9s""","=""2P*,4P*?""","=""1/2,3/2""","=""""","=""37.8329""","=""""","=""0.0009""","=""0.012""","=""                                               or  :    84  2p5.3s.(3P*<1>).9s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).10d""","=""4P*""","=""1/2,3/2""","=""""","=""37.8417""","=""""","=""0.0009""","=""0.009""","=""  73                                           or  :        2p5.3s.(3P*<2>).10d   2[0]*,2[1]* ""","="""""
"=""2p5.3s.(3P*).8d""","=""4D*""","=""1/2,3/2""","=""""","=""37.8439""","=""""","=""0.0024""","=""0.002""","=""  41                                           or  :    76  2p5.3s.(3P*<1>).8d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).7d""","=""4F*""","=""3/2""","=""""","=""37.8547""","=""""","=""0.0009""","=""0.011""","=""  31                                           or  :    64  2p5.3s.(3P*<0>).7d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).12s""","=""2P*""","=""3/2""","=""""","=""37.8594""","=""""","=""0.0009""","=""0.005""","=""  79                                           or  :    95  2p5.3s.(3P*<2>).12s   2[2]*       ""","="""""
"=""2p5.3s.(1P*).5d""","=""2P*""","=""1/2,3/2""","=""""","=""37.8656""","=""""","=""0.0009""","=""0.006""","=""  48                                           or  :    48  2p5.3s.(1P*<1>).5d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).13s""","=""2P*""","=""3/2""","=""""","=""37.8779""","=""""","=""0.0009""","=""0.012""","=""  74                                           or  :    90  2p5.3s.(3P*<2>).13s   2[2]*       ""","="""""
"=""2p5.3s.(3P*).12d""","=""4P*?""","=""1/2,3/2""","=""""","=""37.8849""","=""""","=""0.0009""","=""0.007""","=""  70                                           or  :        2p5.3s.(3P*<2>).12d   2[0]*,2[1]* ""","="""""
"=""2p5.3s.(3P*).14s""","=""2P*""","=""3/2""","=""""","=""37.8954""","=""""","=""0.0009""","=""0.011""","=""  80                                           or  :    97  2p5.3s.(3P*<2>).14s   2[2]*       ""","="""""
"=""2p5.3s.(3P*).9s""","=""4P*?""","=""1/2""","=""""","=""37.9006""","=""""","=""0.0024""","=""0.005""","=""  61                                           or  :    95  2p5.3s.(3P*<0>).9s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).15s""","=""2P*""","=""3/2""","=""""","=""37.9099""","=""""","=""0.0024""","=""0.009""","=""  81                                           or  :    98  2p5.3s.(3P*<2>).15s   2[2]*       ""","="""""
"=""2p5.3s.(3P*).16s""","=""2P*""","=""3/2""","=""""","=""37.9203""","=""""","=""0.0024""","=""0.010""","=""  79                                           or  :    95  2p5.3s.(3P*<2>).16s   2[2]*       ""","="""""
"=""2p5.3s.(3P*).11s""","=""2P*,4P*""","=""1/2,3/2""","=""""","=""37.9264""","=""""","=""0.0009""","=""0.006""","=""                                               or  :    88  2p5.3s.(3P*<1>).11s   2[1]*       ""","="""""
"=""2p5.3s.(3P*).8d""","=""4F*""","=""3/2""","=""""","=""37.9346""","=""""","=""0.0009""","=""0.008""","=""  26                                           or  :    55  2p5.3s.(3P*<0>).8d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).12s""","=""2P*,4P*""","=""1/2,3/2""","=""""","=""37.9535""","=""""","=""0.0009""","=""0.019""","=""                                               or  :    91  2p5.3s.(3P*<1>).12s   2[1]*       ""","="""""
"=""2p5.3s.(3P*).10s""","=""4P*""","=""1/2""","=""""","=""37.9600""","=""""","=""0.0009""","=""0.007""","=""  58                                           or  :    89  2p5.3s.(3P*<0>).10s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).13s""","=""2P*,4P*""","=""1/2,3/2""","=""""","=""37.9725""","=""""","=""0.0024""","=""0.012""","=""                                               or  :    95  2p5.3s.(3P*<1>).13s   2[1]*       ""","="""""
"=""2p5.3s.(3P*).9d""","=""4F*""","=""3/2""","=""""","=""37.9796""","=""""","=""0.0024""","=""0.007""","=""  45                                           or  :    94  2p5.3s.(3P*<0>).9d    2[2]*       ""","="""""
"=""Na II (2p5.3s 3P*<2>)""","=""Limit""","=""---""","=""""","=""37.985506""","=""""","=""0.000025""","=""""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).7s""","=""2P*""","=""1/2,3/2""","=""""","=""37.9941""","=""""","=""0.0010""","=""0.0086""","=""  69                                           or  :    69  2p5.3s.(1P*<1>).7s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).11s""","=""4P*""","=""1/2""","=""""","=""38.0041""","=""""","=""0.0010""","=""0.010""","=""  26                                           or  :    42  2p5.3s.(3P*<0>).11s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).12s""","=""4P*""","=""1/2""","=""""","=""38.0274""","=""""","=""0.0010""","=""0.023""","=""  57                                           or  :    88  2p5.3s.(3P*<0>).12s   2[0]*       ""","="""""
"=""2p5.3s.(1P*).6d""","=""2P*""","=""1/2,3/2""","=""""","=""38.0506""","=""""","=""0.0010""","=""0.023""","=""  80                                           or  :    80  2p5.3s.(1P*<1>).6d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).14s""","=""4P*""","=""1/2""","=""""","=""38.0670""","=""""","=""0.0010""","=""0.016""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).14s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).15s""","=""4P*""","=""1/2""","=""""","=""38.0770""","=""""","=""0.0010""","=""0.010""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).15s   2[0]*       ""","="""""
"=""Na II (2p5.3s 3P*<1>)""","=""Limit""","=""---""","=""""","=""38.080391""","=""""","=""0.000025""","=""""","=""                                                                                              ""","="""""
"=""2p5.3s.(3P*).16s""","=""4P*""","=""1/2""","=""""","=""38.0884""","=""""","=""0.0010""","=""0.0080""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).16s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).17s""","=""4P*""","=""1/2""","=""""","=""38.0963""","=""""","=""0.0011""","=""0.008""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).17s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).18s""","=""4P*""","=""1/2""","=""""","=""38.1018""","=""""","=""0.0011""","=""0.005""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).18s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).19s""","=""4P*""","=""1/2""","=""""","=""38.1068""","=""""","=""0.0011""","=""0.005""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).19s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).20s""","=""4P*""","=""1/2""","=""""","=""38.1131""","=""""","=""0.0011""","=""0.006""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).20s   2[0]*       ""","="""""
"=""2p5.3s.(1P*).8s""","=""2P*""","=""1/2,3/2""","=""""","=""38.1281""","=""""","=""0.0010""","=""0.015""","=""  94                                           or  :    94  2p5.3s.(1P*<1>).8s    2[1]*       ""","="""""
"=""Na II (2p5.3s 3P*<0>)""","=""Limit""","=""---""","=""""","=""38.153790""","=""""","=""0.000025""","=""""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).7d""","=""2P*""","=""1/2,3/2""","=""""","=""38.1626""","=""""","=""0.0010""","=""0.0088""","=""  79                                           or  :    79  2p5.3s.(1P*<1>).7d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).9s""","=""2P*""","=""1/2,3/2""","=""""","=""38.2113""","=""""","=""0.0010""","=""0.049""","=""  95                                           or  :    95  2p5.3s.(1P*<1>).9s    2[1]*       ""","="""""
"=""2p5.3s.(1P*).8d""","=""2P*""","=""1/2,3/2""","=""""","=""38.2340""","=""""","=""0.0010""","=""0.023""","=""  80                                           or  :    80  2p5.3s.(1P*<1>).8d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).10s""","=""2P*""","=""1/2,3/2""","=""""","=""38.2666""","=""""","=""0.0010""","=""0.033""","=""  95                                           or  :    95  2p5.3s.(1P*<1>).10s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).9d""","=""2P*""","=""1/2,3/2""","=""""","=""38.2830""","=""""","=""0.0010""","=""0.016""","=""  81                                           or  :    81  2p5.3s.(1P*<1>).9d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).11s""","=""2P*""","=""1/2,3/2""","=""""","=""38.3047""","=""""","=""0.0010""","=""0.022""","=""  96                                           or  :    96  2p5.3s.(1P*<1>).11s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).10d""","=""2P*""","=""1/2,3/2""","=""""","=""38.3166""","=""""","=""0.0010""","=""0.012""","=""  84                                           or  :    84  2p5.3s.(1P*<1>).10d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).12s""","=""2P*""","=""1/2,3/2""","=""""","=""38.3326""","=""""","=""0.0010""","=""0.016""","=""  96                                           or  :    96  2p5.3s.(1P*<1>).12s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).11d""","=""2P*""","=""1/2,3/2""","=""""","=""38.3417""","=""""","=""0.0010""","=""0.009""","=""  85                                           or  :    85  2p5.3s.(1P*<1>).11d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).13s""","=""2P*""","=""1/2,3/2""","=""""","=""38.3540""","=""""","=""0.0010""","=""0.012""","=""  96                                           or  :    96  2p5.3s.(1P*<1>).13s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).12d""","=""2P*""","=""1/2,3/2""","=""""","=""38.3611""","=""""","=""0.0010""","=""0.007""","=""  86                                           or  :    86  2p5.3s.(1P*<1>).12d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).14s""","=""2P*""","=""1/2,3/2""","=""""","=""38.3698""","=""""","=""0.0024""","=""0.009""","=""  96                                           or  :    96  2p5.3s.(1P*<1>).14s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).13d""","=""2P*""","=""1/2,3/2""","=""""","=""38.3761""","=""""","=""0.0010""","=""0.006""","=""  86                                           or  :    86  2p5.3s.(1P*<1>).13d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).15s""","=""2P*""","=""1/2,3/2""","=""""","=""38.3840""","=""""","=""0.0024""","=""0.008""","=""  96                                           or  :    96  2p5.3s.(1P*<1>).15s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).14d""","=""2P*""","=""1/2,3/2""","=""""","=""38.3871""","=""""","=""0.0010""","=""0.003""","=""  87                                           or  :    87  2p5.3s.(1P*<1>).14d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).15d""","=""2P*""","=""1/2,3/2""","=""""","=""38.3970""","=""""","=""0.0024""","=""0.010""","=""  88                                           or  :    88  2p5.3s.(1P*<1>).15d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).16d""","=""2P*""","=""1/2,3/2""","=""""","=""38.4042""","=""""","=""0.0024""","=""0.007""","=""  88                                           or  :    88  2p5.3s.(1P*<1>).16d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).17d""","=""2P*""","=""1/2,3/2""","=""""","=""38.4102""","=""""","=""0.0024""","=""0.006""","=""  88                                           or  :    88  2p5.3s.(1P*<1>).17d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).18d""","=""2P*""","=""1/2,3/2""","=""""","=""38.4149""","=""""","=""0.0024""","=""0.005""","=""  88                                           or  :    88  2p5.3s.(1P*<1>).18d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).19d""","=""2P*""","=""1/2,3/2""","=""""","=""38.4208""","=""""","=""0.0024""","=""0.006""","=""  89                                           or  :    89  2p5.3s.(1P*<1>).19d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).20d""","=""2P*""","=""1/2,3/2""","=""""","=""38.4244""","=""""","=""0.0024""","=""0.004""","=""  90                                           or  :    90  2p5.3s.(1P*<1>).20d   2[1]*       ""","="""""
"=""Na II (2p5.3s 1P*<1>)""","=""Limit""","=""---""","=""""","=""38.461437""","=""""","=""0.000025""","=""""","=""                                                                                              ""","="""""
"=""2p5.(2P*).3p2.(1S)""","=""2P*""","=""3/2""","=""""","=""38.55673""","=""""","=""0.00025""","=""0.0953""","=""  79                                               :     6  2p5.(2P*).3d2.(1S)    2P*         ""","="""""
"=""2p5.(2P*).3p2.(1S)""","=""2P*""","=""1/2""","=""""","=""38.7272""","=""""","=""0.0006""","=""0.1705""","=""  56                                               :    19  2p5.(2P*).3d2.(1S)    2P*         ""","="""""
"=""2p5.3p.(3P<1>).4p.(I)""","=""""","=""1/2,3/2""","=""""","=""40.150""","=""""","=""0.012""","=""1.42""","=""      2p5.(2P*<1/2>).3p.(3P<1>).4p.(I)                                                        ""","="""""
"=""2p5.3p.(3S<1>).4p""","=""2[1]*""","=""1/2,3/2""","=""""","=""40.5230""","=""""","=""0.0011""","=""0.37""","=""      2p5.(2P*<3/2>).3p.(3S<1>).4p                                                            ""","="""""
"=""2p5.3p.(3S<1>).5p""","=""2[1]*""","=""1/2,3/2""","=""""","=""40.8980""","=""""","=""0.0011""","=""0.375""","=""      2p5.(2P*<3/2>).3p.(3S<1>).5p                                                            ""","="""""
"=""2p5.3p.(3S<1>).6p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.0858""","=""""","=""0.0011""","=""0.188""","=""      2p5.(2P*<3/2>).3p.(3S<1>).6p                                                            ""","="""""
"=""2p5.3p.(3S<1>).7p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.1990""","=""""","=""0.0011""","=""0.113""","=""      2p5.(2P*<3/2>).3p.(3S<1>).7p                                                            ""","="""""
"=""2p5.3p.(3P<1>).5p.(I)""","=""""","=""1/2,3/2""","=""""","=""41.2250""","=""""","=""0.0014""","=""0.026""","=""      2p5.(2P*<1/2>).3p.(3P<1>).5p.(I)                                                        ""","="""""
"=""2p5.3p.(3S<1>).8p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.2698""","=""""","=""0.0011""","=""0.045""","=""      2p5.(2P*<3/2>).3p.(3S<1>).8p                                                            ""","="""""
"=""2p5.3p.(1D<2>).4p""","=""""","=""1/2,3/2""","=""""","=""41.2941""","=""""","=""0.0011""","=""0.024""","=""      2p5.(2P*<3/2>).3p.(1D<2>).4p                                                            ""","="""""
"=""2p5.3p.(3S<1>).9p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.3165""","=""""","=""0.0011""","=""0.022""","=""      2p5.(2P*<3/2>).3p.(3S<1>).9p                                                            ""","="""""
"=""2p5.3p.(3S<1>).10p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.3510""","=""""","=""0.0011""","=""0.035""","=""      2p5.(2P*<3/2>).3p.(3S<1>).10p                                                           ""","="""""
"=""2p5.3p.(3S<1>).11p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.3770""","=""""","=""0.0011""","=""0.026""","=""      2p5.(2P*<3/2>).3p.(3S<1>).11p                                                           ""","="""""
"=""2p5.3p.(3S<1>).12p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.3941""","=""""","=""0.0011""","=""0.017""","=""      2p5.(2P*<3/2>).3p.(3S<1>).12p                                                           ""","="""""
"=""2p5.3p.(3S<1>).13p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.4089""","=""""","=""0.0011""","=""0.015""","=""      2p5.(2P*<3/2>).3p.(3S<1>).13p                                                           ""","="""""
"=""2p5.3p.(1P<1>).4p""","=""""","=""1/2,3/2""","=""""","=""41.4162""","=""""","=""0.0011""","=""0.007""","=""      2p5.(2P*<1/2>).3p.(1P<1>).4p                                                            ""","="""""
"=""2p5.3p.(3S<1>).14p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.4213""","=""""","=""0.0011""","=""0.005""","=""      2p5.(2P*<3/2>).3p.(3S<1>).14p                                                           ""","="""""
"=""2p5.3p.(3S<1>).15p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.4317""","=""""","=""0.0014""","=""0.010""","=""      2p5.(2P*<3/2>).3p.(3S<1>).15p                                                           ""","="""""
"=""2p5.3p.(3S<1>).16p""","=""2[1]*""","=""1/2,3/2""","=""""","=""41.4371""","=""""","=""0.0014""","=""0.005""","=""      2p5.(2P*<3/2>).3p.(3S<1>).16p                                                           ""","="""""
"=""2p5.3p.(3P<1>).4p.(II)""","=""""","=""1/2,3/2""","=""""","=""41.4871""","=""""","=""0.0014""","=""0.050""","=""      2p5.(2P*<1/2>).3p.(3P<1>).4p.(II)                                                       ""","="""""
"=""2p5.3p.(1D<2>).5p""","=""""","=""1/2,3/2""","=""""","=""41.6599""","=""""","=""0.0011""","=""0.173""","=""      2p5.(2P*<3/2>).3p.(1D<2>).5p                                                            ""","="""""
