Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p6.8p""","=""2P*""","=""3/2""","=""""","=""4.8724352""","=""""","=""0.0000025""","=""0.000061""","=""                                                                                              ""","="""""
"=""2p6.9s""","=""2S""","=""1/2""","=""""","=""4.9066561""","=""""","=""0.0000025""","=""0.034221""","=""                                                                                              ""","="""""
"=""2p6.8d""","=""2D""","=""5/2""","=""""","=""4.9257310""","=""""","=""0.0000025""","=""0.019075""","=""                                                                                              ""","="""""
"=""2p6.8d""","=""2D""","=""3/2""","=""""","=""4.9257310""","=""""","=""0.0000025""","=""0.000000""","=""                                                                                              ""","="""""
"=""2p6.8f""","=""2F*""","=""7/2""","=""""","=""4.9264080""","=""""","=""0.0000025""","=""0.000677""","=""                                                                                              ""","="""""
"=""2p6.8f""","=""2F*""","=""5/2""","=""""","=""4.9264080""","=""""","=""0.0000025""","=""0.000000""","=""                                                                                              ""","="""""
"=""2p6.8g""","=""2G""","=""7/2,9/2""","=""[""","=""4.92647220""","=""]""","=""0.00000025""","=""0.000064""","=""                                                                                              ""","="""""
"=""2p6.8h""","=""2H*""","=""9/2,11/2""","=""[""","=""4.92648609""","=""]""","=""0.00000025""","=""0.0000139""","=""                                                                                              ""","="""""
"=""2p6.9p""","=""2P*""","=""1/2""","=""[""","=""4.93388658""","=""]""","=""0.00000025""","=""0.0074005""","=""                                                                                              ""","="""""
"=""2p6.9p""","=""2P*""","=""3/2""","=""[""","=""4.93392762""","=""]""","=""0.00000025""","=""0.0000410""","=""                                                                                              ""","="""""
"=""2p6.10s""","=""2S""","=""1/2""","=""""","=""4.9572937""","=""""","=""0.0000025""","=""0.023366""","=""                                                                                              ""","="""""
"=""2p6.9d""","=""2D""","=""5/2""","=""""","=""4.9705650""","=""""","=""0.0000025""","=""0.013271""","=""                                                                                              ""","="""""
"=""2p6.9d""","=""2D""","=""3/2""","=""""","=""4.9705650""","=""""","=""0.0000025""","=""0.000000""","=""                                                                                              ""","="""""
"=""2p6.9f""","=""2F*""","=""7/2""","=""""","=""4.9710460""","=""""","=""0.0000025""","=""0.000481""","=""                                                                                              ""","="""""
"=""2p6.9f""","=""2F*""","=""5/2""","=""""","=""4.9710460""","=""""","=""0.0000025""","=""0.000000""","=""                                                                                              ""","="""""
"=""2p6.9g""","=""2G""","=""7/2,9/2""","=""[""","=""4.97109449""","=""]""","=""0.00000025""","=""0.000048""","=""                                                                                              ""","="""""
"=""2p6.9h""","=""2H*""","=""9/2,11/2""","=""[""","=""4.97110428""","=""]""","=""0.00000025""","=""0.0000098""","=""                                                                                              ""","="""""
"=""2p6.10p""","=""2P*""","=""1/2""","=""""","=""4.97633022""","=""""","=""0.00000025""","=""0.0052259""","=""                                                                                              ""","="""""
"=""2p6.10p""","=""2P*""","=""3/2""","=""""","=""4.97635910""","=""""","=""0.00000025""","=""0.0000289""","=""                                                                                              ""","="""""
"=""2p6.11s""","=""2S""","=""1/2""","=""""","=""4.99301675""","=""""","=""0.00000025""","=""0.0166576""","=""                                                                                              ""","="""""
