Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4p6.76p""","=""2P*""","=""1/2""","=""""","=""4.174624""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.77p""","=""2P*""","=""1/2""","=""""","=""4.174681""","=""""","=""0.000007""","=""0.000057""","=""L9039"""
"=""4p6.77p""","=""2P*""","=""3/2""","=""""","=""4.174681""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""Rb II (4p6 1S<0>)""","=""Limit""","=""---""","=""""","=""4.1771281""","=""""","=""0.0000012""","=""""","=""L4740,L5783"""
"=""4p5.5s.5p""","=""4S""","=""3/2""","=""""","=""16.64489""","=""""","=""0.00005""","=""12.46776""","=""L9039"""
"=""4p5.5s.4d""","=""4P*""","=""5/2""","=""""","=""16.96183""","=""""","=""0.00005""","=""0.31694""","=""L9039"""
"=""4p5.4d.(3D).5s""","=""2D*""","=""3/2""","=""""","=""18.46174""","=""""","=""0.00014""","=""1.4999""","=""L9039"""
"=""4p5.5s.6s""","=""4P*""","=""5/2""","=""""","=""18.67066""","=""""","=""0.00014""","=""0.2089""","=""L9039"""
"=""4p5.5s.6s""","=""4P*""","=""3/2""","=""""","=""18.76005""","=""""","=""0.00014""","=""0.0894""","=""L9039"""
"=""4p5.5s.(1P).6s""","=""2P*""","=""1/2""","=""""","=""18.88453""","=""""","=""0.00014""","=""0.1245""","=""L9039"""
"=""4p5.5p2""","=""4D*""","=""5/2""","=""""","=""19.02054""","=""""","=""0.00014""","=""0.1360""","=""L9039"""
"=""4p5.4d.(1P).5s""","=""2P*""","=""3/2""","=""""","=""19.09902""","=""""","=""0.00015""","=""0.0785""","=""L9039"""
