Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4p6.23p""","=""2P*""","=""3/2""","=""""","=""4.144314""","=""""","=""0.000007""","=""0.000048""","=""L9039"""
"=""4p6.24p""","=""2P*""","=""1/2""","=""""","=""4.147275""","=""""","=""0.000007""","=""0.002961""","=""L9039"""
"=""4p6.24p""","=""2P*""","=""3/2""","=""""","=""4.147319""","=""""","=""0.000007""","=""0.000044""","=""L9039"""
"=""4p6.25p""","=""2P*""","=""1/2""","=""""","=""4.149889""","=""""","=""0.000007""","=""0.002570""","=""L9039"""
"=""4p6.25p""","=""2P*""","=""3/2""","=""""","=""4.149928""","=""""","=""0.000007""","=""0.000039""","=""L9039"""
"=""4p6.26p""","=""2P*""","=""1/2""","=""""","=""4.152173""","=""""","=""0.000007""","=""0.002245""","=""L9039"""
"=""4p6.26p""","=""2P*""","=""3/2""","=""""","=""4.152205""","=""""","=""0.000007""","=""0.000032""","=""L9039"""
"=""4p6.27p""","=""2P*""","=""1/2""","=""""","=""4.154205""","=""""","=""0.000007""","=""0.002000""","=""L9039"""
"=""4p6.27p""","=""2P*""","=""3/2""","=""""","=""4.154205""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.28p""","=""2P*""","=""1/2""","=""""","=""4.155978""","=""""","=""0.000007""","=""0.001773""","=""L9039"""
"=""4p6.28p""","=""2P*""","=""3/2""","=""""","=""4.155978""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.29p""","=""2P*""","=""3/2""","=""""","=""4.157551""","=""""","=""0.000007""","=""0.001573""","=""L9039"""
"=""4p6.29p""","=""2P*""","=""1/2""","=""""","=""4.157551""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.30p""","=""2P*""","=""3/2""","=""""","=""4.158958""","=""""","=""0.000007""","=""0.001407""","=""L9039"""
"=""4p6.30p""","=""2P*""","=""1/2""","=""""","=""4.158958""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.31p""","=""2P*""","=""1/2""","=""""","=""4.160224""","=""""","=""0.000007""","=""0.001266""","=""L9039"""
"=""4p6.31p""","=""2P*""","=""3/2""","=""""","=""4.160224""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.32p""","=""2P*""","=""1/2""","=""""","=""4.161352""","=""""","=""0.000007""","=""0.001128""","=""L9039"""
"=""4p6.32p""","=""2P*""","=""3/2""","=""""","=""4.161352""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.33p""","=""2P*""","=""3/2""","=""""","=""4.162379""","=""""","=""0.000007""","=""0.001027""","=""L9039"""
"=""4p6.33p""","=""2P*""","=""1/2""","=""""","=""4.162379""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.34p""","=""2P*""","=""3/2""","=""""","=""4.163308""","=""""","=""0.000007""","=""0.000929""","=""L9039"""
"=""4p6.34p""","=""2P*""","=""1/2""","=""""","=""4.163308""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.35p""","=""2P*""","=""1/2""","=""""","=""4.164147""","=""""","=""0.000007""","=""0.000839""","=""L9039"""
"=""4p6.35p""","=""2P*""","=""3/2""","=""""","=""4.164147""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.36p""","=""2P*""","=""1/2""","=""""","=""4.164916""","=""""","=""0.000007""","=""0.000769""","=""L9039"""
"=""4p6.36p""","=""2P*""","=""3/2""","=""""","=""4.164916""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.37p""","=""2P*""","=""1/2""","=""""","=""4.165616""","=""""","=""0.000007""","=""0.000700""","=""L9039"""
"=""4p6.37p""","=""2P*""","=""3/2""","=""""","=""4.165616""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.38p""","=""2P*""","=""1/2""","=""""","=""4.166258""","=""""","=""0.000007""","=""0.000642""","=""L9039"""
"=""4p6.38p""","=""2P*""","=""3/2""","=""""","=""4.166258""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
"=""4p6.37d""","=""2D""","=""5/2""","=""""","=""4.16644""","=""""","=""0.00004""","=""0.00018""","=""L9039"""
"=""4p6.37d""","=""2D""","=""3/2""","=""""","=""4.16644""","=""""","=""0.00004""","=""0.00000""","=""L9039"""
"=""4p6.39s""","=""2S""","=""1/2""","=""""","=""4.16658""","=""""","=""0.00004""","=""0.00014""","=""L9039"""
"=""4p6.39p""","=""2P*""","=""1/2""","=""""","=""4.166856""","=""""","=""0.000007""","=""0.00028""","=""L9039"""
"=""4p6.39p""","=""2P*""","=""3/2""","=""""","=""4.166856""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
