Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Reference
"=""3d5.(4G).4d""","=""f 5G""","=""3""","=""""","=""7.769089""","=""""","=""0.000014""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4G).4d""","=""f 5G""","=""4""","=""""","=""7.770219""","=""""","=""0.000011""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4G).4d""","=""f 5G""","=""6""","=""""","=""7.7705694""","=""""","=""0.0000024""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4G).4d""","=""f 5G""","=""5""","=""""","=""7.772681""","=""""","=""0.000007""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.4p""","=""r 3H*""","=""4""","=""""","=""7.7815032""","=""""","=""0.0000005""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.4p""","=""r 3H*""","=""5""","=""""","=""7.7899589""","=""""","=""0.0000004""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.4p""","=""r 3H*""","=""6""","=""""","=""7.7989883""","=""""","=""0.0000004""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""q 3H*""","=""4""","=""""","=""7.8254609""","=""""","=""0.0000006""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""q 3H*""","=""5""","=""""","=""7.8288776""","=""""","=""0.0000004""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""q 3H*""","=""6""","=""""","=""7.8336620""","=""""","=""0.0000004""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.4p""","=""p 3H*""","=""4""","=""""","=""7.9153835""","=""""","=""0.0000011""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.4p""","=""p 3H*""","=""5""","=""""","=""7.9259635""","=""""","=""0.0000005""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.4p""","=""p 3H*""","=""6""","=""""","=""7.9347294""","=""""","=""0.0000010""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5s""","=""e 5H""","=""3""","=""""","=""8.023257""","=""""","=""0.000007""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5s""","=""e 5H""","=""4""","=""""","=""8.028142""","=""""","=""0.000005""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5s""","=""e 5H""","=""5""","=""""","=""8.0344232""","=""""","=""0.0000015""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5s""","=""e 5H""","=""6""","=""""","=""8.038675""","=""""","=""0.000009""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5s""","=""e 5H""","=""7""","=""""","=""8.0515637""","=""""","=""0.0000010""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.4p""","=""p 3G*""","=""3""","=""""","=""8.184056""","=""""","=""0.000007""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.4p""","=""p 3G*""","=""4""","=""""","=""8.194607""","=""""","=""0.000009""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.4p""","=""p 3G*""","=""5""","=""""","=""8.205330""","=""""","=""0.000016""","=""""","=""                                                     ""","=""L18327"""
"=""3p5.3d5.4s2""","=""7P*""","=""4""","=""""","=""38.594""","=""""","=""0.010""","=""""","=""                                                     ""","=""L18327"""
"=""3p5.3d5.4s2""","=""7P*""","=""3""","=""""","=""38.960""","=""""","=""0.010""","=""""","=""                                                     ""","=""L18327"""
"=""3p5.3d5.4s2""","=""7P*""","=""2""","=""""","=""39.281""","=""""","=""0.010""","=""""","=""                                                     ""","=""L18327"""
