Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Reference
"=""3d5.(2I).4p""","=""y 1H*""","=""5""","=""""","=""6.9362888""","=""""","=""0.0000004""","=""""","=""  43             :    12  3d4.(3G).4s.4p.(3P*)  1H*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""v 5G*""","=""2""","=""""","=""6.9623457""","=""""","=""0.0000006""","=""""","=""  46             :    44  3d3.(4F).4s2.4p       5G*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""v 5G*""","=""3""","=""""","=""6.9691199""","=""""","=""0.0000007""","=""""","=""  43             :    38  3d3.(4F).4s2.4p       5G*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""v 5G*""","=""4""","=""""","=""6.9777684""","=""""","=""0.0000006""","=""""","=""  51             :    40  3d3.(4F).4s2.4p       5G*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""v 5G*""","=""5""","=""""","=""6.9879748""","=""""","=""0.0000005""","=""""","=""  55             :    38  3d3.(4F).4s2.4p       5G*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""v 5G*""","=""6""","=""""","=""6.9987849""","=""""","=""0.0000004""","=""""","=""  59             :    34  3d3.(4F).4s2.4p       5G*  ""","=""L18327,L7185"""
"=""3d4.(3D).4s.4p.(3P*)""","=""v 3P*""","=""2""","=""""","=""7.016489""","=""""","=""0.000014""","=""""","=""  42             :    18  3d5.(2D1).4p          3P*  ""","=""L18327,L7185"""
"=""3d4.(3D).4s.4p.(3P*)""","=""v 3P*""","=""1""","=""""","=""7.032694""","=""""","=""0.000006""","=""""","=""  40             :    10  3d4.(3D).4s.4p.(3P*)  1P*  ""","=""L18327,L7185"""
"=""3d4.(3D).4s.4p.(3P*)""","=""v 3P*""","=""0""","=""""","=""7.042600""","=""""","=""0.000007""","=""""","=""  56             :    19  3d5.(2D1).4p          3P*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(1P*)""","=""3G*""","=""3""","=""""","=""7.065320""","=""""","=""0.000005""","=""""","=""  21             :    16  3d4.(3D).4s.4p.(3P*)  3F*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(1P*)""","=""u 3G*""","=""4""","=""""","=""7.071255""","=""""","=""0.000005""","=""""","=""  24             :    15  3d4.(3H).4s.4p.(3P*)  3G*  ""","=""L18327,L7185"""
"=""3d4.(3F1).4s.4p.(1P*)""","=""u 3G*""","=""5""","=""""","=""7.078041""","=""""","=""0.000005""","=""""","=""  25             :    23  3d4.(3H).4s.4p.(3P*)  3G*  ""","=""L18327,L7185"""
"=""3d4.(1S1).4s.4p.(3P*)""","=""u 3P*""","=""2""","=""""","=""7.077966""","=""""","=""0.000003""","=""""","=""  43             :    22  3d5.(2D1).4p          3P*  ""","=""L18327,L7185"""
"=""3d4.(1S1).4s.4p.(3P*)""","=""u 3P*""","=""1""","=""""","=""7.083523""","=""""","=""0.000005""","=""""","=""  40             :    21  3d5.(2D1).4p          3P*  ""","=""L18327,L7185"""
"=""3d4.(1S1).4s.4p.(3P*)""","=""u 3P*""","=""0""","=""""","=""7.086257""","=""""","=""0.000019""","=""""","=""  40             :    22  3d5.(2D1).4p          3P*  ""","=""L18327,L7185"""
"=""""","=""p 5F*""","=""1""","=""""","=""7.079056""","=""""","=""0.000020""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""p 5F*""","=""2""","=""""","=""7.079588""","=""""","=""0.000009""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""p 5F*""","=""3""","=""""","=""7.090219""","=""""","=""0.000012""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""p 5F*""","=""4""","=""""","=""7.096551""","=""""","=""0.000017""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""p 5F*""","=""5""","=""""","=""7.10771""","=""""","=""0.00003""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""*""","=""3""","=""""","=""7.0846792""","=""""","=""0.0000007""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.(3D).4s.4p.(3P*)""","=""t 3F*""","=""2""","=""""","=""7.0944465""","=""""","=""0.0000014""","=""""","=""  24             :    14  3d3.(4F).4s2.4p       3F*  ""","=""L18327,L7185"""
"=""3d4.(3D).4s.4p.(3P*)""","=""t 3F*""","=""3""","=""""","=""7.1013640""","=""""","=""0.0000007""","=""""","=""  10  3F*        :    10  3d3.(4F).4s2.4p       3F*  ""","=""L18327,L7185"""
"=""3d4.(3D).4s.4p.(3P*)""","=""t 3F*""","=""4""","=""""","=""7.1086803""","=""""","=""0.0000005""","=""""","=""  16  3F*        :    13  3d3.(4F).4s2.4p       3F*  ""","=""L18327,L7185"""
"=""3d5.(4G).5s""","=""e 5G""","=""2""","=""""","=""7.110564""","=""""","=""0.000010""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4G).5s""","=""e 5G""","=""3""","=""""","=""7.111889""","=""""","=""0.000004""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4G).5s""","=""e 5G""","=""4""","=""""","=""7.113307""","=""""","=""0.000006""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4G).5s""","=""e 5G""","=""5""","=""""","=""7.1145652""","=""""","=""0.0000014""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4G).5s""","=""e 5G""","=""6""","=""""","=""7.11537080""","=""""","=""0.00000025""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(2F1).4p""","=""t 3G*""","=""3""","=""""","=""7.136156""","=""""","=""0.000004""","=""""","=""  40             :    14  3d5.(4F).4p           5F*  ""","=""L18327c152,L7185"""
"=""3d5.(2F1).4p""","=""t 3G*""","=""4""","=""""","=""7.1399151""","=""""","=""0.0000009""","=""""","=""  21             :    18  3d5.(4F).4p           5F*  ""","=""L18327,L7185"""
"=""3d5.(2F1).4p""","=""t 3G*""","=""5""","=""""","=""7.1541681""","=""""","=""0.0000006""","=""""","=""  58             :    20  3d4.(3F1).4s.4p.(3P*) 3G*  ""","=""L18327,L7185"""
"=""3d4.4s.5p""","=""r 5D*""","=""0""","=""""","=""7.185918""","=""""","=""0.000017""","=""""","=""                                                     ""","=""L18327c152"""
"=""3d4.4s.5p""","=""r 5D*""","=""1""","=""""","=""7.1904716""","=""""","=""0.0000017""","=""""","=""                                                     ""","=""L18327c152"""
"=""3d4.4s.5p""","=""r 5D*""","=""2""","=""""","=""7.1990031""","=""""","=""0.0000010""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5p""","=""r 5D*""","=""3""","=""""","=""7.2094140""","=""""","=""0.0000019""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.5p""","=""r 5D*""","=""4""","=""""","=""7.227354""","=""""","=""0.000006""","=""""","=""                                                     ""","=""L18327c152"""
"=""""","=""e 3G""","=""3""","=""""","=""7.1892100""","=""""","=""0.0000005""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""e 3G""","=""5""","=""""","=""7.1898804""","=""""","=""0.0000004""","=""""","=""                                                     ""","=""L18327"""
"=""""","=""e 3G""","=""4""","=""""","=""7.1901131""","=""""","=""0.0000007""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(2F1).4p""","=""s 3F*""","=""2""","=""""","=""7.2112652""","=""""","=""0.0000012""","=""""","=""  26             :    15  3d5.(2D1).4p          3F*  ""","=""L18327,L7185"""
"=""3d5.(2F1).4p""","=""s 3F*""","=""4""","=""""","=""7.211891""","=""""","=""0.000006""","=""""","=""  25             :    20  3d5.(2D1).4p          3F*  ""","=""L18327c152,L7185"""
"=""3d5.(2F1).4p""","=""s 3F*""","=""3""","=""""","=""7.216203""","=""""","=""0.000005""","=""""","=""  25             :    23  3d5.(2D1).4p          3F*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""u 3D*""","=""1""","=""""","=""7.2809897""","=""""","=""0.0000007""","=""""","=""  33  5D*        :    18  3d5.(4F).4p           3D*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""u 3D*""","=""2""","=""""","=""7.297730""","=""""","=""0.000007""","=""""","=""  39             :    28  3d4.(3D).4s.4p.(3P*)  3D*  ""","=""L18327,L7185"""
"=""3d5.(4F).4p""","=""u 3D*""","=""3""","=""""","=""7.330195""","=""""","=""0.000010""","=""""","=""  25             :    25  3d4.(3D).4s.4p.(3P*)  3D*  ""","=""L18327,L7185"""
"=""3d5.(2H).4p""","=""t 3H*""","=""4""","=""""","=""7.2813746""","=""""","=""0.0000004""","=""""","=""  23             :    16  3d5.(2I).4p           3H*  ""","=""L18327,L7185"""
"=""3d5.(2H).4p""","=""t 3H*""","=""5""","=""""","=""7.28461669""","=""""","=""0.00000025""","=""""","=""  24             :    17  3d5.(2I).4p           3H*  ""","=""L18327,L7185"""
"=""3d5.(2H).4p""","=""t 3H*""","=""6""","=""""","=""7.28720337""","=""""","=""0.00000025""","=""""","=""  26             :    17  3d5.(2I).4p           3H*  ""","=""L18327,L7185"""
"=""3d5.(4P).5p""","=""t 3D*""","=""2""","=""""","=""7.286786""","=""""","=""0.000006""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4P).5p""","=""t 3D*""","=""1""","=""""","=""7.298983""","=""""","=""0.000009""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4P).5p""","=""t 3D*""","=""3""","=""""","=""7.3056424""","=""""","=""0.0000012""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s.(6D).6p""","=""7F*""","=""2""","=""""","=""7.3365""","=""""","=""0.0005""","=""""","=""  60                                                 ""","=""L5413"""
"=""3d4.4s.(6D).6p""","=""7F*""","=""3""","=""""","=""7.3601""","=""""","=""0.0005""","=""""","=""  73                                                 ""","=""L5413"""
"=""3d4.4s.(6D).6p""","=""7F*""","=""4""","=""""","=""7.3882""","=""""","=""0.0005""","=""""","=""  83                                                 ""","=""L5413"""
