 	 	 3/2 	  5.360725                 	  0.000012     	  
 	 	 	 	 	 
1s222p 	 2P° 	 1/2 	  5.363450                 	  0.000012     	  
 	 	 3/2 	  5.363450                 	  0.000012     	  
 	 	 	 	 	 
1s223p 	 2P° 	 1/2 	  5.365907                 	  0.000012     	  
 	 	 3/2 	  5.365907                 	  0.000012     	  
 	 	 	 	 	 
1s224p 	 2P° 	 1/2 	  5.368024                 	  0.000012     	  
 	 	 3/2 	  5.368024                 	  0.000012     	  
 	 	 	 	 	 
1s225p 	 2P° 	 1/2 	  5.369935                 	  0.000012     	  
 	 	 3/2 	  5.369935                 	  0.000012     	  
 	 	 	 	 	 
1s226p 	 2P° 	 1/2 	  5.371592                 	  0.000012     	  
 	 	 3/2 	  5.371592                 	  0.000012     	  
 	 	 	 	 	 
1s227p 	 2P° 	 1/2 	  5.373029                 	  0.000012     	  
 	 	 3/2 	  5.373029                 	  0.000012     	  
 	 	 	 	 	 
1s228p 	 2P° 	 1/2 	  5.374267                 	  0.000012     	  
 	 	 3/2 	  5.374267                 	  0.000012     	  
 	 	 	 	 	 
1s229p 	 2P° 	 1/2 	  5.375324                 	  0.000012     	  
 	 	 3/2 	  5.375324                 	  0.000012     	  
 	 	 	 	 	 
1s230p 	 2P° 	 1/2 	  5.376415                 	  0.000012     	  
 	 	 3/2 	  5.376415                 	  0.000012     	  
 	 	 	 	 	 
1s231p 	 2P° 	 1/2 	  5.377450                 	  0.000012     	  
 	 	 3/2 	  5.377450                 	  0.000012     	  
 	 	 	 	 	 
1s232p 	 2P° 	 1/2 	  5.378225                 	  0.000012     	  
 	 	 3/2 	  5.378225                 	  0.000012     	  
 	 	 	 	 	 
1s233p 	 2P° 	 1/2 	  5.37904                  	  0.00012      	  
 	 	 3/2 	  5.37904                  	  0.00012      	  
 	 	 	 	 	 
1s234p 	 2P° 	 1/2 	  5.37971                  	  0.00012      	  
 	 	 3/2 	  5.37971                  	  0.00012      	  
 	 	 	 	 	 
1s235p 	 2P° 	 1/2 	  5.38034                  	  0.00012      	  
 	 	 3/2 	  5.38034                  	  0.00012      	  
 	 	 	 	 	 
1s236p 	 2P° 	 1/2 	  5.38098                  	  0.00012      	  
 	 	 3/2 	  5.38098                  	  0.00012      	  
 	 	 	 	 	 
1s237p 	 2P° 	 1/2 	  5.38150                  	  0.00012      	  
 	 	 3/2 	  5.38150                  	  0.00012      	  
 	 	 	 	 	 
1s238p 	 2P° 	 1/2 	  5.38198                  	  0.00012      	  
 	 	 3/2 	  5.38198                  	  0.00012      	  
 	 	 	 	 	 
1s239p 	 2P° 	 1/2 	  5.38245                  	  0.00012      	  
 	 	 3/2 	  5.38245                  	  0.00012      	  
 	 	 	 	 	 
1s240p 	 2P° 	 1/2 	  5.38301                  	  0.00012      	  
 	 	 3/2 	  5.38301                  	  0.00012      	  
 	 	 	 	 	 
1s241p 	 2P° 	 1/2 	  5.38351                  	  0.00012      	  
 	 	 3/2 	  5.38351                  	  0.00012      	  
 	 	 	 	 	 
1s242p 	 2P° 	 1/2 	  5.38393                  	  0.00012      	  
 	 	 3/2 	  5.38393                  	  0.00012      	  
 	 	 	 	 	 
Li II (1s2 1S0) 	 Limit 	 --- 	  5.391714996              	  0.000000022  	 L12261 
