2p612p 	 2P° 	 1/2 	  [5.02951609]               	  0.00000025   	  
 	 	 3/2 	  [5.02953221]               	  0.00000025   	  
 	 	 	 	 	 
2p613s 	 2S 	 1/2 	  [5.03886016]               	  0.00000025   	  
 	 	 	 	 	 
2p612d 	 2D 	 3/2 	  [5.04436022]               	  0.00000025   	  
 	 	 5/2 	  [5.04436022]               	  0.00000025   	  
 	 	 	 	 	 
2p612f 	 2F° 	 5/2,7/2 	  [5.04457025]               	  0.00000025   	  
 	 	 	 	 	 
2p612g 	 2G 	 7/2,9/2 	  [5.04458872]               	  0.00000025   	  
 	 	 	 	 	 
2p613p 	 2P° 	 1/2 	  [5.04681945]               	  0.00000025   	  
 	 	 3/2 	  [5.04683185]               	  0.00000025   	  
 	 	 	 	 	 
2p614s 	 2S 	 1/2 	  [5.05407748]               	  0.00000025   	  
 	 	 	 	 	 
2p613d 	 2D 	 5/2 	  [5.05838693]               	  0.00000025   	  
 	 	 3/2 	  [5.05838717]               	  0.00000025   	  
 	 	 	 	 	 
2p613f 	 2F° 	 5/2,7/2 	  [5.05855207]               	  0.00000025   	  
 	 	 	 	 	 
2p613g 	 2G 	 7/2,9/2 	  [5.05856658]               	  0.00000025   	  
 	 	 	 	 	 
2p614p 	 2P° 	 1/2 	  [5.06032492]               	  0.00000025   	  
 	 	 3/2 	  [5.06033472]               	  0.00000025   	  
 	 	 	 	 	 
2p615s 	 2S 	 1/2 	  [5.06607469]               	  0.00000025   	  
 	 	 	 	 	 
2p614d 	 2D 	 5/2 	  [5.06951376]               	  0.00000025   	  
 	 	 3/2 	  [5.06951389]               	  0.00000025   	  
 	 	 	 	 	 
2p614f 	 2F° 	 5/2,7/2 	  [5.06964593]               	  0.00000025   	  
 	 	 	 	 	 
2p614g 	 2G 	 7/2,9/2 	  [5.06965759]               	  0.00000025   	  
 	 	 	 	 	 
2p615p 	 2P° 	 1/2 	  [5.07106803]               	  0.00000025   	  
 	 	 3/2 	  [5.07107584]               	  0.00000025   	  
 	 	 	 	 	 
2p616s 	 2S 	 1/2 	  [5.07569996]               	  0.00000025   	  
 	 	 	 	 	 
2p615d 	 2D 	 3/2 	  [5.07848836]               	  0.00000025   	  
 	 	 5/2 	  [5.07848836]               	  0.00000025   	  
 	 	 	 	 	 
2p615f 	 2F° 	 5/2,7/2 	  [5.07859573]               	  0.00000025   	  
 	 	 	 	 	 
2p615g 	 2G 	 7/2,9/2 	  [5.07860528]               	  0.00000025   	  
 	 	 	 	 	 
2p616p 	 2P° 	 1/2 	  [5.07975362]               	  0.00000025   	  
 	 	 3/2 	  [5.07976007]               	  0.00000025   	  
 	 	 	 	 	 
2p617s 	 2S 	 1/2 	  [5.08353997]               	  0.00000025   	  
 	 	 	 	 	 
2p616d 	 2D 	 5/2 	  [5.08583182]               	  0.00000025   	  
 	 	 3/2 	  [5.08583194]               	  0.00000025   	  
 	 	 	 	 	 
2p616f 	 2F° 	 5/2,7/2 	  [5.08592034]               	  0.00000025   	  
 	 	 	 	 	 
2p616g 	 2G 	 7/2,9/2 	  [5.08592816]               	  0.00000025   	  
 	 	 	 	 	 
2p617p 	 2P° 	 1/2 	  [5.08687564]               	  0.00000025   	  
 	 	 3/2 	  [5.08688097]               	  0.00000025   	  
 	 	 	 	 	 
2p618s 	 2S 	 1/2 	  [5.09001021]               	  0.00000025   	  
 	 	 	 	 	 
2p617d 	 2D 	 5/2 	  [5.09191684]               	  0.00000025   	  
 	 	 3/2 	  [5.09191696]               	  0.00000025   	  
 	 	 	 	 	 
2p617f 	 2F° 	 5/2,7/2 	  [5.09199061]               	  0.00000025   	  
 	 	 	 	 	 
2p617g 	 2G 	 7/2,9/2 	  [5.09199718]               	  0.00000025   	  
 	 	 	 	 	 
2p618p 	 2P° 	 1/2 	  [5.09278808]               	  0.00000025   	  
 	 	 3/2 	  [5.09279242]               	  0.00000025   	  
 	 	 	 	 	 
2p619s 	 2S 	 1/2 	  [5.09541220]               	  0.00000025   	  
 	 	 	 	 	 
2p618d 	 2D 	 3/2 	  [5.09701544]               	  0.00000025   	  
 	 	 5/2 	  [5.09701544]               	  0.00000025   	  
 	 	 	 	 	 
2p618f 	 2F° 	 5/2,7/2 	  [5.09707756]               	  0.00000025   	  
 	 	 	 	 	 
2p618g 	 2G 	 7/2 	  [5.09708301]               	  0.00000025   	  
 	 	 9/2 	  [5.09708314]               	  0.00000025   	  
 	 	 	 	 	 
2p619p 	 2P° 	 1/2 	  [5.09774992]               	  0.00000025   	  
 	 	 3/2 	  [5.09775364]               	  0.00000025   	  
 	 	 	 	 	 
2p620s 	 2S 	 1/2 	  [5.09996887]               	  0.00000025   	  
 	 	 	 	 	 
2p619d 	 2D 	 5/2 	  [5.10132972]               	  0.00000025   	  
 	 	 3/2 	  [5.10132984]               	  0.00000025   	  
 	 	 	 	 	 
2p619f 	 2F° 	 5/2,7/2 	  [5.10138254]               	  0.00000025   	  
 	 	 	 	 	 
2p619g 	 2G 	 7/2,9/2 	  [5.10138725]               	  0.00000025   	  
 	 	 	 	 	 
2p620p 	 2P° 	 1/2 	  [5.10195472]               	  0.00000025   	  
 	 	 3/2 	  [5.10195795]               	  0.00000025   	  
 	 	 	 	 	 
2p620d 	 2D 	 3/2 	  [5.10501280]               	  0.00000025   	  
 	 	 5/2 	  [5.10501280]               	  0.00000025   	  
 	 	 	 	 	 
2p620f 	 2F° 	 5/2,7/2 	  [5.10505805]               	  0.00000025   	  
 	 	 	 	 	 
2p620g 	 2G 	 7/2,9/2 	  [5.10506202]               	  0.00000025   	  
 	 	 	 	 	 
Na II (2p6 1S0) 	 Limit 	 --- 	  5.13907696                	  0.00000025   	 L10921,L9648 
