5p614s 	 2S 	 1/2 	  3.756429242                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p610f 	 2F° 	 7/2 	  3.756986073                     	  0.000000021     	 L7057,L4940 
 	 	 5/2 	  3.756989684                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p610g 	 2G 	 7/2 	  3.757671026                     	  0.000000019     	 L7057 
 	 	 9/2 	  3.75767114                      	  0.00000025      	 L7057,L5289 
 	 	 	 	 	 
5p614p 	 2P° 	 1/2 	  3.768235852                     	  0.000000019     	 L7057 
 	 	 3/2 	  3.7690159                       	  0.0000004       	 L7057,L6284 
 	 	 	 	 	 
5p613d 	 2D 	 3/2 	  3.77107279                      	  0.00000006      	 L6147 
 	 	 5/2 	  3.771284489                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p615s 	 2S 	 1/2 	  3.780405103                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p611f 	 2F° 	 7/2 	  3.780807106                     	  0.000000021     	 L7057,L4940 
 	 	 5/2 	  3.780809866                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p611g 	 2G 	 9/2 	  3.78132657                      	  0.00000025      	 L7057,L5289 
 	 	 7/2 	  3.781326738                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p615p 	 2P° 	 1/2 	  3.789317765                     	  0.000000019     	 L7057 
 	 	 3/2 	  3.7899103                       	  0.0000004       	 L7057,L6284 
 	 	 	 	 	 
5p614d 	 2D 	 3/2 	  3.79146490                      	  0.00000006      	 L6147 
 	 	 5/2 	  3.791626184                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p616s 	 2S 	 1/2 	  3.798613336                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p612f 	 2F° 	 7/2 	  3.798913391                     	  0.000000022     	 L7057,L4940 
 	 	 5/2 	  3.798915550                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p612g 	 2G 	 7/2 	  3.799316584                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p616p 	 2P° 	 1/2 	  3.805505791                     	  0.000000019     	 L7057 
 	 	 3/2 	  3.8059666                       	  0.0000004       	 L7057,L6284 
 	 	 	 	 	 
5p615d 	 2D 	 3/2 	  3.80717042                      	  0.00000006      	 L6147 
 	 	 5/2 	  3.807296076                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p617s 	 2S 	 1/2 	  3.812766301                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p613f 	 2F° 	 7/2 	  3.812996423                     	  0.000000022     	 L7057,L4940 
 	 	 5/2 	  3.812998144                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p613g 	 2G 	 7/2 	  3.813315339                     	  0.000000019     	 L7057 
 	 	 	 	 	 
5p617p 	 2P° 	 1/2 	  3.818205847                     	  0.000000019     	 L7057 
