Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""3p5.4s.(1P*).15s""","=""2P*""","=""1/2,3/2""","=""""","=""24.8927""","=""""","=""0.0006""","=""0.014""","=""""","=""L6851"""
"=""3p5.4s.(1P*).14d""","=""2P*""","=""1/2,3/2""","=""""","=""24.8927""","=""""","=""0.0006""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).16s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9053""","=""""","=""0.0004""","=""0.0126""","=""""","=""L6851"""
"=""3p5.4s.(1P*).15d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9053""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).17s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9149""","=""""","=""0.0004""","=""0.0096""","=""""","=""L6851"""
"=""3p5.4s.(1P*).16d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9149""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).17d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9226""","=""""","=""0.0004""","=""0.0077""","=""""","=""L6851"""
"=""3p5.4s.(1P*).18s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9226""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).18d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9293""","=""""","=""0.0004""","=""0.0067""","=""""","=""L6851"""
"=""3p5.4s.(1P*).19s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9293""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).19d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9347""","=""""","=""0.0004""","=""0.0054""","=""""","=""L6851"""
"=""3p5.4s.(1P*).20s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9347""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).20d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9393""","=""""","=""0.0004""","=""0.0046""","=""""","=""L6851"""
"=""3p5.4s.(1P*).21s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9393""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).22s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9431""","=""""","=""0.0004""","=""0.0038""","=""""","=""L6851"""
"=""3p5.4s.(1P*).21d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9431""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).23s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9466""","=""""","=""0.0004""","=""0.0035""","=""""","=""L6851"""
"=""3p5.4s.(1P*).22d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9466""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).24s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9495""","=""""","=""0.0004""","=""0.0029""","=""""","=""L6851"""
"=""3p5.4s.(1P*).23d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9495""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).25s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9522""","=""""","=""0.0004""","=""0.0027""","=""""","=""L6851"""
"=""3p5.4s.(1P*).24d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9522""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).26s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9543""","=""""","=""0.0004""","=""0.0021""","=""""","=""L6851"""
"=""3p5.4s.(1P*).25d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9543""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).27s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9563""","=""""","=""0.0004""","=""0.0020""","=""""","=""L6851"""
"=""3p5.4s.(1P*).26d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9563""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).28s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9581""","=""""","=""0.0004""","=""0.0018""","=""""","=""L6851"""
"=""3p5.4s.(1P*).27d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9581""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).29s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9596""","=""""","=""0.0004""","=""0.0015""","=""""","=""L6851"""
"=""3p5.4s.(1P*).28d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9596""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).30s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9610""","=""""","=""0.0004""","=""0.0014""","=""""","=""L6851"""
"=""3p5.4s.(1P*).29d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9610""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).31s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9625""","=""""","=""0.0004""","=""0.0015""","=""""","=""L6851"""
"=""3p5.4s.(1P*).30d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9625""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).32s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9637""","=""""","=""0.0004""","=""0.0012""","=""""","=""L6851"""
"=""3p5.4s.(1P*).31d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9637""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""3p5.4s.(1P*).33s""","=""2P*""","=""1/2,3/2""","=""""","=""24.9650""","=""""","=""0.0004""","=""0.0013""","=""""","=""L6851"""
"=""3p5.4s.(1P*).32d""","=""2P*""","=""1/2,3/2""","=""""","=""24.9650""","=""""","=""0.0004""","=""0.0000""","=""""","=""L6851"""
"=""K II (3p5.4s 1P*<1>)""","=""Limit""","=""---""","=""""","=""24.978737""","=""""","=""0.000012""","=""""","=""""","=""L12188"""
"=""3p5.3d.(1P*).5s""","=""2P*""","=""1/2,3/2""","=""""","=""26.5399""","=""""","=""0.0004""","=""1.5612""","=""""","=""L6851"""
"=""3p5.3d.(1P*).11s""","=""2P*""","=""1/2,3/2""","=""""","=""29.1923""","=""""","=""0.0005""","=""2.6524""","=""""","=""L6851"""
"=""3p5.3d.(1P*).12s""","=""2P*""","=""1/2,3/2""","=""""","=""29.2259""","=""""","=""0.0005""","=""0.0336""","=""""","=""L6851"""
"=""3p5.3d.(1P*).13s""","=""2P*""","=""1/2,3/2""","=""""","=""29.2511""","=""""","=""0.0005""","=""0.0252""","=""""","=""L6851"""
"=""3p5.3d.(1P*).14s""","=""2P*""","=""1/2,3/2""","=""""","=""29.2689""","=""""","=""0.0005""","=""0.0178""","=""""","=""L6851"""
"=""3p5.3d.(1P*).15s""","=""2P*""","=""1/2,3/2""","=""""","=""29.2848""","=""""","=""0.0005""","=""0.0159""","=""""","=""L6851"""
"=""3p5.3d.(1P*).16s""","=""2P*""","=""1/2,3/2""","=""""","=""29.2975""","=""""","=""0.0005""","=""0.0127""","=""""","=""L6851"""
"=""3p5.3d.(1P*).17s""","=""2P*""","=""1/2,3/2""","=""""","=""29.3078""","=""""","=""0.0005""","=""0.0103""","=""""","=""L6851"""
"=""3p5.3d.(1P*).18s""","=""2P*""","=""1/2,3/2""","=""""","=""29.3169""","=""""","=""0.0005""","=""0.0091""","=""""","=""L6851"""
"=""3p5.3d.(1P*).19s""","=""2P*""","=""1/2,3/2""","=""""","=""29.3244""","=""""","=""0.0005""","=""0.0075""","=""""","=""L6851"""
"=""3p5.3d.(1P*).20s""","=""2P*""","=""1/2,3/2""","=""""","=""29.3308""","=""""","=""0.0005""","=""0.0064""","=""""","=""L6851"""
"=""3p5.3d.(1P*).21s""","=""2P*""","=""1/2,3/2""","=""""","=""29.3361""","=""""","=""0.0005""","=""0.0053""","=""""","=""L6851"""
"=""3p5.3d.(1P*).22s""","=""2P*""","=""1/2,3/2""","=""""","=""29.3407""","=""""","=""0.0005""","=""0.0046""","=""""","=""L6851"""
"=""3p5.3d.(1P*).23s""","=""2P*""","=""1/2,3/2""","=""""","=""29.3443""","=""""","=""0.0005""","=""0.0036""","=""""","=""L6851"""
"=""K II (3p5.3d 1P*<1>)""","=""Limit""","=""---""","=""""","=""29.380213""","=""""","=""0.000025""","=""""","=""""","=""L12188"""
