Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""3p6.21p""","=""2P*""","=""3/2""","=""""","=""4.3040947""","=""""","=""0.0000004""","=""0.0018468""","=""""","=""L5783"""
"=""3p6.20d""","=""2D""","=""5/2""","=""""","=""4.30569594""","=""""","=""0.00000009""","=""0.0016012""","=""""","=""L5451"""
"=""3p6.20d""","=""2D""","=""3/2""","=""""","=""4.30569657""","=""""","=""0.00000009""","=""0.0000006""","=""""","=""L5451"""
"=""3p6.22s""","=""2S""","=""1/2""","=""""","=""4.30602671""","=""""","=""0.00000009""","=""0.0003301""","=""""","=""L5451"""
"=""3p6.21d""","=""2D""","=""5/2""","=""""","=""4.30898808""","=""""","=""0.00000009""","=""0.0029614""","=""""","=""L5451"""
"=""3p6.21d""","=""2D""","=""3/2""","=""""","=""4.30898863""","=""""","=""0.00000009""","=""0.0000006""","=""""","=""L5451"""
"=""3p6.23s""","=""2S""","=""1/2""","=""""","=""4.30927424""","=""""","=""0.00000009""","=""0.0002856""","=""""","=""L5451"""
"=""3p6.22d""","=""2D""","=""5/2""","=""""","=""4.31183638""","=""""","=""0.00000009""","=""0.0025621""","=""""","=""L5451"""
"=""3p6.22d""","=""2D""","=""3/2""","=""""","=""4.31183685""","=""""","=""0.00000009""","=""0.0000005""","=""""","=""L5451"""
"=""3p6.24s""","=""2S""","=""1/2""","=""""","=""4.31208546""","=""""","=""0.00000009""","=""0.0002486""","=""""","=""L5451"""
"=""3p6.23d""","=""2D""","=""5/2""","=""""","=""4.31431710""","=""""","=""0.00000009""","=""0.0022316""","=""""","=""L5451"""
"=""3p6.23d""","=""2D""","=""3/2""","=""""","=""4.31431751""","=""""","=""0.00000009""","=""0.0000004""","=""""","=""L5451"""
"=""3p6.25s""","=""2S""","=""1/2""","=""""","=""4.31453530""","=""""","=""0.00000009""","=""0.0002178""","=""""","=""L5451"""
"=""3p6.24d""","=""2D""","=""5/2""","=""""","=""4.31649092""","=""""","=""0.00000009""","=""0.0019556""","=""""","=""L5451"""
"=""3p6.24d""","=""2D""","=""3/2""","=""""","=""4.31649130""","=""""","=""0.00000009""","=""0.0000004""","=""""","=""L5451"""
"=""3p6.26s""","=""2S""","=""1/2""","=""""","=""4.31668309""","=""""","=""0.00000009""","=""0.0001918""","=""""","=""L5451"""
"=""3p6.25d""","=""2D""","=""5/2""","=""""","=""4.31840644""","=""""","=""0.00000009""","=""0.0017234""","=""""","=""L5451"""
"=""3p6.25d""","=""2D""","=""3/2""","=""""","=""4.31840675""","=""""","=""0.00000009""","=""0.0000003""","=""""","=""L5451"""
"=""3p6.27s""","=""2S""","=""1/2""","=""""","=""4.31857656""","=""""","=""0.00000009""","=""0.0001698""","=""""","=""L5451"""
"=""3p6.26d""","=""2D""","=""5/2""","=""""","=""4.32010298""","=""""","=""0.00000009""","=""0.0015264""","=""""","=""L5451"""
"=""3p6.26d""","=""2D""","=""3/2""","=""""","=""4.32010327""","=""""","=""0.00000009""","=""0.0000003""","=""""","=""L5451"""
"=""3p6.28s""","=""2S""","=""1/2""","=""""","=""4.32025424""","=""""","=""0.00000009""","=""0.0001510""","=""""","=""L5451"""
"=""3p6.27d""","=""2D""","=""5/2""","=""""","=""4.32161269""","=""""","=""0.00000009""","=""0.0013585""","=""""","=""L5451"""
"=""3p6.27d""","=""2D""","=""3/2""","=""""","=""4.32161293""","=""""","=""0.00000009""","=""0.0000002""","=""""","=""L5451"""
"=""3p6.29s""","=""2S""","=""1/2""","=""""","=""4.32174783""","=""""","=""0.00000009""","=""0.0001349""","=""""","=""L5451"""
"=""3p6.28d""","=""2D""","=""5/2""","=""""","=""4.32296206""","=""""","=""0.00000009""","=""0.0012142""","=""""","=""L5451"""
"=""3p6.28d""","=""2D""","=""3/2""","=""""","=""4.32296229""","=""""","=""0.00000009""","=""0.0000002""","=""""","=""L5451"""
"=""3p6.30s""","=""2S""","=""1/2""","=""""","=""4.32308326""","=""""","=""0.00000009""","=""0.0001210""","=""""","=""L5451"""
"=""3p6.29d""","=""2D""","=""5/2""","=""[""","=""4.32417296""","=""]""","=""0.00000009""","=""0.0010897""","=""""","=""L5451"""
"=""3p6.29d""","=""2D""","=""3/2""","=""[""","=""4.32417317""","=""]""","=""0.00000009""","=""0.0000002""","=""""","=""L5451"""
"=""3p6.31s""","=""2S""","=""1/2""","=""[""","=""4.32428208""","=""]""","=""0.00000009""","=""0.0001089""","=""""","=""L5451"""
"=""3p6.30d""","=""2D""","=""5/2""","=""""","=""4.32526375""","=""""","=""0.00000009""","=""0.0009817""","=""""","=""L5451"""
"=""3p6.30d""","=""2D""","=""3/2""","=""""","=""4.32526392""","=""""","=""0.00000009""","=""0.0000002""","=""""","=""L5451"""
"=""3p6.32s""","=""2S""","=""1/2""","=""""","=""4.32536233""","=""""","=""0.00000009""","=""0.0000984""","=""""","=""L5451"""
"=""3p6.31d""","=""2D""","=""5/2""","=""[""","=""4.32624979""","=""]""","=""0.00000009""","=""0.0008875""","=""""","=""L5451"""
"=""3p6.31d""","=""2D""","=""3/2""","=""[""","=""4.32624996""","=""]""","=""0.00000009""","=""0.0000002""","=""""","=""L5451"""
"=""3p6.33s""","=""2S""","=""1/2""","=""[""","=""4.32633915""","=""]""","=""0.00000009""","=""0.0000892""","=""""","=""L5451"""
"=""3p6.32d""","=""2D""","=""5/2""","=""""","=""4.32714408""","=""""","=""0.00000009""","=""0.0008049""","=""""","=""L5451"""
"=""3p6.32d""","=""2D""","=""3/2""","=""""","=""4.32714423""","=""""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.34s""","=""2S""","=""1/2""","=""""","=""4.32722538""","=""""","=""0.00000009""","=""0.0000811""","=""""","=""L5451"""
"=""3p6.33d""","=""2D""","=""5/2""","=""[""","=""4.32795765""","=""]""","=""0.00000009""","=""0.0007323""","=""""","=""L5451"""
"=""3p6.33d""","=""2D""","=""3/2""","=""[""","=""4.32795779""","=""]""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.35s""","=""2S""","=""1/2""","=""[""","=""4.32803173""","=""]""","=""0.00000009""","=""0.0000739""","=""""","=""L5451"""
"=""3p6.34d""","=""2D""","=""5/2""","=""""","=""4.32869992""","=""""","=""0.00000009""","=""0.0006682""","=""""","=""L5451"""
"=""3p6.34d""","=""2D""","=""3/2""","=""""","=""4.32870004""","=""""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
"=""3p6.36s""","=""2S""","=""1/2""","=""""","=""4.32876765""","=""""","=""0.00000009""","=""0.0000676""","=""""","=""L5451"""
"=""3p6.35d""","=""2D""","=""5/2""","=""[""","=""4.32937903""","=""]""","=""0.00000009""","=""0.0006114""","=""""","=""L5451"""
"=""3p6.35d""","=""2D""","=""3/2""","=""[""","=""4.32937913""","=""]""","=""0.00000009""","=""0.0000001""","=""""","=""L5451"""
